OF22,OF26,OF27,F17,F20,F21,F23,F24,F28,F29,F31,F33,F34,F36,F38,F43,F44,F45,F49,F63,F65,PR
2,4,1893,1,1,2,4,3,2,2,4,4,2,2,0,1,1,2,2,0,6.22,5.423
2,3,1624,3,1,3,3,2,2,3,5,3,1,2,0,2,1,4,1,0,6.07,5.821
1,3,2254,1,1,2,4,2,2,3,4,4,4,3,0,1,1,3,1,0,5.495,5.104
2,6,2141,1,3,3,4,2,1,2,5,5,3,1,0,1,2,0,1,0,4.92,7.2
1,4,2109,4,3,2,4,2,2,2,1,0,0,0,0,1,2,5,2,0,4.345,4.815
3,3,1363,1,1,3,1,4,2,1,5,0,0,0,0,4,0,0,1,0,3.77,10
3,4,2122,2,2,2,2,5,3,2,1,0,0,0,0,1,2,4,1,0,6.67,5.581
2,6,2314,1,1,3,2,5,1,3,5,0,0,0,0,5,0,0,1,0,6.518333333,10
2,6,2082,1,3,3,1,6,0,0,0,0,0,0,0,5,0,0,1,0,6.366666667,10
2,6,2141,1,3,4,2,4,1,1,5,2,0,0,0,2,2,5,1,0,6.215,7.049
1,6,2039,1,3,3,1,6,0,0,0,0,0,0,0,5,0,0,1,0,6.063333333,10
2,4,1677,1,2,3,2,3,2,2,2,0,0,0,0,1,1,2,1,0,5.911666667,5.449
2,3,1950,2,3,3,1,5,1,1,4,0,0,0,0,1,1,5,1,0,5.76,7.167
2,6,1903,1,1,3,1,6,0,0,0,0,0,0,0,5,0,0,1,0,5.608333333,10
1,6,2092,1,1,3,1,6,0,0,0,0,0,0,0,5,0,0,1,0,5.456666667,10
2,6,2236,1,2,3,2,4,1,1,3,0,0,0,0,1,2,1,1,0,5.305,7.241
1,6,2192,1,1,3,1,6,0,0,0,0,0,0,0,5,0,0,1,0,5.153333333,10
1,3,2272,1,3,1,1,6,0,0,0,0,0,0,0,2,2,3,1,0,5.001666667,5.333
4,4,1358,1,1,3,1,5,1,1,5,0,0,0,0,5,0,0,1,0,4.85,10
2,4,1955,1,2,3,3,4,2,3,2,0,0,0,0,1,2,1,1,0,5.21,5.407
4,6,2183,1,1,3,1,6,0,0,0,0,0,0,0,5,0,0,1,0,5.57,10
2,4,2079,1,3,3,3,4,1,2,4,0,0,0,0,1,1,4,2,0,5.94,5.626
1,4,1523,2,1,4,2,2,2,2,2,0,0,0,0,2,1,3,1,0,6.31,5.298
2,2,2221,2,3,4,4,2,1,1,3,0,0,0,0,1,2,5,2,0,5.36,5.037
