OF16,OF18,OF22,OF25,OF26,OF27,F1,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F6,F17,F18,F20,F21,F22,F23,F24,F28,F31,F33,F34,F36,F43,F44,F45,F48,F49,F54,F65,S5,NR
5,0.46,2,3,4,1730,3,2,1,1,3,0,2,3,2,2,1,2,3,3,4,1,2,5,3,2,2,2,1,5,3,1,1,7.03,0.303030303,6.988
5,0.29,2,1,4,2078,3,1,1,1,1,1,2,4,3,3,1,2,5,2,4,1,2,4,3,3,2,1,1,3,3,1,1,6.33,0.363636364,6.005
4,0.17,2,1,4,1933,4,0,0,0,2,0,2,4,4,1,2,2,3,2,5,1,2,5,4,2,2,2,1,3,2,1,1,7.03,0.424242424,5.951
2,0.004,2,2,4,2034,4,0,0,0,2,0,1,5,1,3,1,3,2,3,4,2,2,3,4,2,1,1,1,3,3,2,6,6.1,0.484848485,5.802
3,0.05,2,1,4,2041,3,1,0,0,3,0,4,3,4,4,1,3,3,3,4,2,1,3,4,3,2,1,2,1,3,1,1,5.17,0.545454546,5.074
4,0.53,2,3,5,1909,4,0,0,1,1,1,1,5,4,1,1,2,5,2,4,1,2,3,3,4,2,1,2,3,3,1,1,4.24,0.606060606,5.529
1,0.005,1,2,6,2169,4,0,0,0,0,0,0,6,3,1,1,3,3,4,4,1,3,2,3,4,2,1,2,3,3,2,1,5.665,0.666666667,5.63
5,0.286,2,1,3,1881,3,1,1,0,4,1,2,3,4,3,1,1,3,3,4,1,2,5,4,3,3,2,1,4,2,1,1,7.09,0.592592593,6.191
3,0.38,2,1,4,1904,4,0,0,0,1,0,0,5,4,2,1,3,3,2,4,2,2,4,3,2,1,1,1,3,3,2,6,6.81,0.518518519,5.374
4,0.3122,2,2,4,1846,4,0,0,0,0,0,4,4,4,1,1,3,3,3,4,2,3,4,4,4,3,1,1,2,3,2,6,6.53,0.444444445,5.946
5,0.01,1,3,4,2224,4,0,0,0,0,0,1,6,4,1,1,1,3,4,2,2,2,2,3,3,2,1,1,0,3,1,1,6.25,0.370370371,5.744
5,0.47,3,2,4,1890,2,1,0,1,0,1,4,3,4,1,1,1,4,4,2,2,2,5,4,2,2,1,1,5,3,1,1,4.17,0.296296296,5.934
5,0.77,3,3,4,1512,2,0,0,0,0,1,1,5,4,1,1,1,3,3,3,2,2,5,6,3,1,5,0,0,3,1,2,6.31,0.222222222,10
2,0.279,1,2,2,2073,4,0,0,0,2,0,0,5,4,1,1,3,2,2,4,2,2,4,4,2,3,1,1,3,3,2,6,5.745,0.148148148,5.421
5,0.48,2,3,2,1854,4,0,1,0,1,0,2,5,4,2,2,2,4,4,2,2,2,2,5,3,3,1,1,2,3,1,1,5.18,0.074074074,5.87
