OF16,OF18,OF22,OF25,OF26,OF27,F1,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F6,F17,F18,F20,F21,F22,F23,F24,F28,F31,F33,F34,F36,F43,F44,F45,F48,F49,F54,F65,S5,NR
1,0.25,2,3,6,2038,3,0,0,0,1,0,5,2,3,1,1,2,2,2,1,5,1,5,1,0,0,3,2,2,3,1,1,5.43,0,4.716
5,0.6162,2,3,6,2029,1,1,0,3,1,1,3,2,1,1,1,3,3,1,2,4,1,2,0,0,0,5,0,0,3,2,1,4.48,0,10
3,0.15,3,3,4,2241,1,2,0,2,1,2,4,1,1,1,1,1,4,2,2,5,1,5,0,0,0,5,0,0,3,1,1,3.53,0,10
4,0.12,2,3,4,2341,3,0,3,0,3,0,3,0,4,1,1,2,5,4,1,2,2,5,0,0,0,4,0,0,3,1,1,5.13,0,10
5,0.18,0,3,4,2341,3,4,2,1,1,1,2,0,4,1,1,2,4,2,2,4,2,5,0,0,0,5,0,0,3,1,1,4.01,0,10
5,0.16,3,3,4,2075,3,5,0,2,0,0,0,0,4,4,1,2,3,1,1,6,0,0,0,0,0,4,0,0,3,1,1,3.955,0,10
3,0.51,3,3,4,1698,2,1,0,2,2,2,3,3,1,1,1,3,3,2,1,4,2,5,0,0,0,2,2,4,3,1,1,3.9,0,4.888
3,0.53,3,3,5,1677,1,1,0,1,1,3,3,2,3,1,1,1,3,2,2,4,1,5,0,0,0,4,0,0,3,1,1,3.89,0,10
3,0.81,3,3,4,1464,1,1,0,1,0,2,3,2,4,1,1,1,3,2,1,5,1,5,0,0,0,4,0,0,0,1,1,4.04,0,10
4,0.01,1,3,4,1516,3,0,0,0,4,0,2,2,4,2,1,2,3,4,2,1,4,3,0,0,0,1,2,5,3,1,1,6.97,0,5.531
5,0.19,2,2,3,2118,4,0,0,0,1,0,1,6,4,1,1,2,4,4,2,2,1,1,0,0,0,1,2,2,3,1,1,6.885714286,0,5.763
2,0.27,3,2,4,2140,1,2,0,0,3,2,4,1,3,1,1,3,3,1,2,5,2,5,0,0,0,3,2,4,3,1,1,6.801428571,0,4.905
4,0.12,2,3,6,2181,1,2,0,3,0,2,3,1,1,1,1,1,3,1,1,6,0,0,0,0,0,5,0,0,3,1,1,6.717142857,0,10
4,0.603,2,2,6,2077,4,1,1,0,2,0,1,4,4,1,1,3,2,3,4,1,2,4,2,0,0,2,2,3,3,2,1,6.632857143,0,6.199
2,0.528,2,3,5,1835,2,3,0,3,0,0,2,2,1,3,1,3,3,3,3,4,3,4,0,0,0,1,1,4,3,2,6,6.548571429,0,4.977
5,0.17,3,2,4,1911,1,2,0,2,0,2,3,2,1,1,1,2,3,1,1,5,1,5,0,0,0,4,0,0,3,1,6,6.464285714,0,10
5,0.34,2,0,4,2011,4,0,0,0,0,0,0,6,4,4,2,1,5,3,3,2,2,5,0,0,0,2,1,2,3,1,5,6.38,0,5.479
3,0.5,2,3,4,1380,2,1,0,1,0,1,4,3,4,2,1,2,3,2,2,3,2,2,0,0,0,3,2,4,3,2,1,6.42,0,4.331
5,0.6,2,3,3,1380,1,1,0,1,0,1,2,3,4,1,1,1,3,2,1,5,1,5,0,0,0,5,0,0,3,1,1,6.39125,0,10
5,0.00085,1,2,4,1970,4,0,3,0,0,0,2,4,4,4,1,3,2,3,4,3,3,1,0,0,0,1,1,2,3,3,6,6.3625,0,5.712
3,0.086,1,2,2,2207,3,6,0,0,0,1,1,0,3,4,1,3,2,2,3,5,1,3,0,0,0,1,1,4,3,2,1,6.33375,0,4.253
2,0.75,1,2,4,2202,3,5,0,2,0,2,0,0,3,3,1,3,3,2,3,4,2,5,0,0,0,2,1,5,3,2,2,6.305,0,5.128
1,0.166,1,3,6,2111,2,0,0,3,0,0,4,2,1,1,1,3,3,1,1,6,0,0,0,0,0,5,0,0,3,2,6,6.27625,0,10
1,0.865,2,3,6,2099,1,4,0,2,0,2,3,1,2,1,1,3,3,1,1,6,0,0,0,0,0,5,0,0,3,1,6,6.2475,0,10
1,0.29,2,0,6,1987,1,1,0,4,0,3,3,1,1,1,1,3,3,1,2,6,0,0,0,0,0,5,0,0,3,1,6,6.21875,0,10
5,0.66,2,3,5,1357,3,0,0,1,1,1,3,3,3,2,1,2,4,4,2,2,2,1,0,0,0,1,2,4,3,2,1,6.19,0,5.651
1,0.0129,2,3,6,2080,3,0,4,0,2,0,2,1,3,4,1,3,5,4,1,6,0,0,0,0,0,5,0,0,3,1,1,6.38,0,10
3,0.72,2,3,4,1329,3,1,0,1,0,1,0,0,4,3,2,2,3,2,2,5,1,5,0,0,0,4,0,0,3,1,1,6.57,0,10
1,0.72,2,3,4,1329,1,2,0,2,0,2,3,1,1,1,1,2,3,2,1,5,1,5,0,0,0,4,0,0,3,1,1,5.29,0,10
4,0.41,3,3,4,1342,3,5,0,1,0,1,1,0,3,1,2,2,4,1,1,5,1,5,0,0,0,4,0,0,3,1,1,4.01,0,10
4,0.41,3,3,4,1342,1,3,0,3,0,3,2,1,1,1,1,1,3,1,1,5,1,5,0,0,0,5,0,0,3,1,1,5.2,0,10
5,0.24,1,3,2,1907,3,1,1,0,4,0,2,1,3,2,1,2,2,4,3,1,2,1,0,0,0,1,2,4,3,2,1,6.39,0,5.778
3,0.24,3,3,4,1907,2,2,0,3,0,2,2,3,1,1,1,1,3,3,2,3,1,5,0,0,0,4,0,0,3,1,2,4.1,0,10
5,0.59,3,3,4,1437,1,2,0,2,0,2,4,2,3,1,1,2,3,2,1,5,1,5,0,0,0,4,0,0,3,1,1,3.65,0,10
5,0.11,3,3,4,1954,4,0,0,0,1,0,2,5,4,1,1,2,4,4,2,1,2,4,0,0,0,2,1,3,3,1,1,6.33,0,6.375
5,0.54,2,1,4,1486,3,4,0,2,2,1,1,1,3,1,2,3,4,3,3,2,2,5,0,0,0,1,2,5,2,1,1,6.16,0,6.188
4,0.26,1,2,3,1767,3,4,0,2,2,1,2,2,3,4,1,1,1,1,2,5,2,1,0,5,0,1,2,4,3,2,1,6.225714286,0,3.855
5,0.06,2,2,4,1950,3,2,1,1,4,1,2,0,1,2,1,2,2,0,2,5,2,3,0,0,0,1,1,1,1,1,1,6.291428571,0,5.388
5,0.19,2,2,4,2065,3,0,0,0,3,0,2,4,1,2,1,2,4,2,2,5,2,1,0,0,0,1,1,1,3,1,1,6.357142857,0,5.502
5,2146,2,2,4,2146,3,0,0,0,4,0,2,2,1,2,1,2,2,3,3,4,2,2,0,0,0,1,2,1,2,2,1,6.422857143,0,787.732
4,0.1,2,3,4,2065,3,3,0,0,1,0,4,0,4,4,3,2,1,2,2,4,1,1,0,0,0,1,2,4,3,3,1,6.488571429,0,4.138
1,0.9,1,1,6,2169,1,1,0,2,0,2,5,2,3,1,1,1,3,1,1,6,0,0,0,0,0,4,0,0,3,1,1,6.554285714,0,10
5,0.39,2,2,4,1538,3,2,3,0,2,0,0,0,4,1,2,2,5,2,1,6,0,0,0,0,0,1,2,4,1,2,1,6.62,0,5.056
