OF9,OF10,OF11,OF19,OF20,OF21,OF22,OF23,OF24,F13,F41,F50,F51,F52,F66b,S2,NR_Benefit
4,3,5,0,4,4,1,1,3,2,1,4,2,2,78.4,0,5
5,3,1,0,4,4,2,1,3,1,1,5,0,0,93.8,0,4.167
4,3,4,0,4,4,1,3,2,3,1,5,0,0,109.2,0,6.25
2,2,5,0,4,4,2,1,3,1,1,5,0,0,124.6,0,6.667
3,3,5,1,4,4,1,1,3,2,1,4,2,2,140,0,10
5,3,5,0,4,4,2,1,3,2,0,5,0,0,98,0,1.667
4,3,1,0,4,4,1,1,3,2,1,4,1,2,384,0,5.833
4,3,1,0,4,4,2,2,2,2,1,4,1,2,670,0,6.111
1,1,3,0,4,4,2,2,3,2,1,4,2,3,457.5,0,10
5,3,5,0,4,4,2,1,3,2,0,5,0,0,245,0,1.667
5,3,6,0,4,4,1,1,3,2,0,5,0,0,204.2,0,2.5
4,2,5,0,4,4,1,1,3,2,1,5,0,0,163.4,0,6.667
4,3,5,0,4,4,3,0,2,5,1,3,2,2,122.6,0,5.139
4,2,5,0,4,4,2,1,3,2,1,5,0,0,81.8,0,6.667
5,3,4,0,4,4,2,1,3,2,0,5,0,0,41,0,1.667
3,1,5,0,4,4,1,3,3,2,1,4,2,2,58.75,0,10
4,3,4,0,4,4,2,3,3,2,0,3,2,1,76.5,0,3.353
4,3,4,0,4,4,1,1,3,5,1,5,0,0,94.25,0,5
5,3,4,0,4,4,3,1,3,1,0,5,0,0,112,0,0.833
2,2,5,0,4,4,3,2,2,1,1,5,0,0,108.3076923,0,6.667
4,3,5,0,4,4,2,1,3,1,0,5,0,0,104.6153846,0,1.667
3,3,4,0,4,4,2,1,3,1,0,4,1,3,100.9230769,0,4.444
4,3,5,0,4,4,2,2,3,2,0,2,2,2,97.23076923,0,3.611
4,3,5,1,4,4,1,2,3,2,0,5,0,0,93.53846154,0,10
3,3,5,0,4,4,2,1,3,2,1,5,0,0,89.84615385,0,4.167
2,2,4,0,4,4,2,1,3,1,0,4,2,2,86.15384615,0,6.667
3,2,3,0,4,4,2,1,3,2,0,5,0,0,82.46153846,0,6.667
3,2,4,0,4,4,1,1,3,1,0,5,0,0,78.76923077,0,6.667
3,2,4,0,4,4,2,1,3,1,0,5,0,0,75.07692308,0,6.667
1,1,4,0,4,4,1,1,3,1,0,5,0,0,71.38461538,0,10
4,3,3,0,4,4,1,1,3,2,0,4,2,3,67.69230769,0,4.167
4,3,5,0,4,4,4,1,3,1,0,5,0,0,64,0,1.238
4,2,5,0,4,4,2,1,3,2,0,5,0,0,63.25,0,6.667
4,3,5,0,4,4,4,1,3,1,0,5,0,0,62.5,0,1.238
4,3,5,0,4,4,2,1,3,1,1,5,0,0,61.75,0,4.167
5,3,4,0,4,4,1,1,3,2,1,5,0,0,61,0,5
