Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,PR,PR_Function,PR_Benefit,PR Benefit Rating
3,5,1,4,0,3,2,0,0,5,0,7.3,53.7,46.4,1,6.19,2,0.0,0
4,6,1,0,2,2,0,0,2,5,0,7.3,23.3,16.0,8,3.841467562780769,1,0.0,0
0,2,0,0,2,1,0,0,0,4,0,7.0,264.0,257.0,0,10.0,2,0.0,0
2,4,0,0,0,1,0,0,0,0,1,7.0,70.0,63.0,0,6.71,2,0.0,0
0,0,0,1,2,1,0,0,0,4,0,6.7,115.3,108.6,0,10.0,2,0.0,0
2,4,0,1,2,1,0,0,0,5,0,6.7,105.0,98.3,6,4.18,1,5.24,2
0,0,0,4,2,0,0,0,0,3,0,6.3,97.0,90.7,0,10.0,2,0.0,0
3,6,0,4,3,3,0,0,2,4,0,6.3,32.7,26.4,8,10.0,2,0.0,0
4,6,0,5,0,2,3,0,2,5,0,6.3,31.7,25.4,1,5.43,1,6.61,2
4,6,1,5,0,2,2,0,2,1,0,6.3,31.7,25.4,1,3.74,1,0.0,0
0,8,2,2,1,2,3,1,0,3,1,6.2,35.3,29.1,2,10.0,2,2.087205026302337,1
2,4,1,0,0,1,2,0,0,1,0,6.0,78.0,72.0,1,5.22,1,0.0,0
0,0,0,4,2,3,0,0,0,4,0,6.0,67.0,61.0,0,10.0,2,0.0,0
3,5,1,4,0,3,2,0,0,5,0,6.0,58.3,52.3,1,4.53,1,2.99,1
3,5,0,4,3,0,0,0,0,3,0,6.0,57.7,51.7,1,10.0,2,0.0,0
0,0,0,0,0,2,2,0,0,4,0,6.0,57.0,51.0,0,10.0,2,0.0,0
2,4,0,4,3,2,0,0,0,3,0,5.7,243.0,237.3,1,10.0,2,0.0,0
2,4,0,0,3,1,0,0,0,3,0,5.7,97.7,92.0,1,10.0,2,0.0,0
0,0,0,0,2,2,0,0,0,3,0,5.7,85.3,79.6,1,3.95,1,0.0,0
2,3,0,4,0,2,2,0,0,5,0,5.7,60.3,54.6,1,5.18,1,0.0,0
3,5,1,1,2,1,4,0,1,2,0,5.7,48.0,42.3,9,10.0,2,0.0,0
0,0,0,0,2,2,0,0,2,4,0,5.7,22.0,16.3,8,10.0,2,0.0,0
1,1,1,1,2,1,4,0,1,2,0,5.7,12.7,6.999999999999999,9,2.408991972171535,0,5.739039593674248,2
2,4,2,2,1,1,3,1,0,3,1,5.5,45.0,39.5,2,4.911930147336039,1,0.0,0
2,3,0,0,0,3,2,0,0,5,0,5.3,232.0,226.7,1,5.24,1,5.41,2
0,0,0,0,0,1,0,0,0,4,0,5.3,161.3,156.0,1,10.0,2,0.0,0
1,7,1,0,0,1,2,0,0,1,0,5.3,100.7,95.4,4,4.33,1,6.81,2
0,0,0,4,3,1,0,0,0,4,0,5.3,93.3,88.0,1,10.0,2,0.0,0
0,2,0,1,2,1,0,0,0,4,0,5.0,500.0,500.0,0,10.0,2,0.0,0
0,2,0,0,0,1,0,0,0,4,0,5.0,500.0,500.0,0,10.0,2,0.0,0
0,2,0,1,0,1,0,0,0,3,0,5.0,500.0,500.0,0,10.0,2,0.0,0
2,4,0,0,0,0,2,0,0,4,0,5.0,85.7,80.7,1,6.32,2,0.0,0
1,7,1,5,2,1,3,0,0,1,0,5.0,76.0,71.0,4,5.65,2,6.52,2
0,0,0,1,2,1,0,0,0,4,0,5.0,51.7,46.7,0,10.0,2,0.0,0
3,6,0,4,0,3,2,0,2,4,0,5.0,29.0,24.0,1,4.24,1,0.0,0
2,4,0,1,0,1,0,0,0,3,0,4.7,500.0,500.0,1,10.0,2,0.0,0
0,8,0,0,3,1,0,0,0,4,0,4.7,254.7,250.0,0,10.0,2,0.0,0
0,2,0,4,2,2,0,0,0,4,0,4.7,165.0,160.3,1,10.0,2,0.0,0
2,4,1,0,0,1,2,0,0,5,0,4.7,139.0,134.3,1,6.59,2,6.04,2
1,1,1,1,0,1,3,0,1,2,0,4.7,14.0,9.3,7,3.72,2,10.0,2
2,3,0,4,2,1,2,0,0,3,0,4.3,128.7,124.3,0,10.0,2,0.0,0
0,8,0,0,0,1,0,0,0,3,0,4.3,91.3,87.0,0,10.0,2,10.0,2
1,7,2,2,1,1,3,1,0,2,1,4.0,130.0,126.0,2,6.264159289811141,2,10.0,2
2,3,0,0,0,2,0,0,0,3,0,4.0,88.0,84.0,1,10.0,2,0.0,0
3,5,2,2,1,3,2,1,0,3,1,4.0,80.3,76.3,2,6.425208487279637,2,1.896957503998945,0
3,6,2,2,1,0,4,1,0,4,1,4.0,80.0,76.0,2,5.116788064323164,2,0.0,0
4,5,0,0,2,1,2,0,0,5,0,3.7,110.7,107.0,1,10.0,2,0.0,0
3,6,0,4,0,3,2,0,2,4,0,3.7,29.3,25.6,1,10.0,2,0.0,0
2,3,1,1,2,1,3,0,2,5,0,3.3,36.3,33.0,1,10.0,2,0.0,0
4,6,1,5,0,2,3,0,2,5,0,3.0,27.0,24.0,4,2.84,0,10.0,2
2,3,0,0,0,1,2,0,1,4,2,3.0,15.0,12.0,1,6.05,1,0.0,0
2,4,0,1,0,1,2,0,0,4,0,2.7,143.3,140.6,1,10.0,2,0.0,0
3,5,0,4,0,1,2,0,0,4,0,2.7,98.7,96.0,1,6.82,2,0.0,0
0,0,0,1,2,1,2,0,0,4,0,2.7,48.3,45.59999999999999,0,10.0,0,10.0,0
4,5,0,5,2,1,2,0,0,4,0,2.3,67.3,65.0,7,3.72853841913274,1,6.632702297125707,2
2,4,1,0,2,1,3,0,0,1,0,2.3,62.3,60.0,1,5.18,1,0.0,0
3,6,0,4,2,3,2,0,2,4,0,2.3,31.7,29.4,1,10.0,2,0.0,0
3,6,0,4,0,3,2,0,2,3,0,2.3,23.3,21.0,8,10.0,0,0.0,0
2,4,1,4,0,0,2,0,0,5,0,2.0,103.7,101.7,1,4.95,1,6.18,2
3,5,0,4,3,3,2,0,0,4,0,2.0,48.3,46.3,0,10.0,2,0.0,0
4,6,1,5,0,1,2,3,0,1,0,2.0,38.7,36.7,1,6.23,2,2.11,1
1,1,1,0,2,1,3,0,1,1,0,2.0,34.0,32.0,1,5.13,1,6.41,2
1,7,0,1,0,1,3,0,0,4,0,1.7,62.0,60.3,7,3.33,1,5.97,2
3,6,3,4,2,0,2,0,0,4,2,1.7,41.3,39.59999999999999,0,10.0,2,0.0,0
0,0,0,4,0,3,2,0,2,4,0,1.7,27.7,26.0,0,10.0,2,0.0,0
4,6,1,5,2,1,4,0,1,1,0,1.7,14.7,13.0,1,3.61,1,6.49,2
4,6,0,5,2,1,4,0,2,4,2,1.3,29.3,28.0,6,3.55,1,10.0,2
1,7,0,1,0,1,4,0,0,1,0,1.0,45.0,44.0,4,5.45,1,6.65,2
4,5,1,5,0,1,4,0,0,5,0,1.0,33.0,32.0,6,5.3,1,6.19,2
3,6,1,4,2,3,2,0,2,5,0,1.0,29.7,28.7,7,3.490997806631714,1,6.314371464850516,2
3,5,0,4,3,3,4,0,0,3,0,0.7,83.3,82.6,0,10.0,2,0.0,0
3,5,0,4,0,3,2,0,0,4,0,0.7,74.0,73.3,1,5.274499454590239,1,0.0,0
3,6,3,6,2,0,2,0,1,4,0,0.7,7.7,7.0,1,10.0,2,0.0,0
3,5,3,4,0,3,4,0,0,4,0,0.3,40.3,40.0,7,3.615609275484711,1,5.826653584208704,2
3,6,3,4,2,3,3,0,2,4,0,0.3,26.0,25.7,6,4.14,1,5.81,2
4,6,1,0,0,0,4,0,2,5,0,0.3,23.7,23.4,4,3.43,1,6.4,2
1,1,0,1,0,1,1,0,1,4,0,0.3,6.7,6.4,7,3.514974388361911,1,6.733249781500965,2
2,4,2,2,1,0,3,1,0,4,1,0.0,500.0,500.0,2,6.920733781390384,2,5.3272538381623,2
4,5,1,5,2,1,1,0,0,1,0,0.0,500.0,500.0,6,3.84,1,10.0,2
0,8,2,2,1,2,2,1,0,3,1,0.0,270.7,270.7,2,10.0,2,10.0,2
0,0,0,0,2,1,3,0,0,4,0,0.0,198.0,198.0,0,10.0,2,0.0,0
1,7,1,1,2,1,4,0,0,5,0,0.0,158.0,158.0,7,4.173023078121778,1,10.0,2
4,5,1,5,2,1,1,0,0,2,0,0.0,149.0,149.0,7,4.22,1,6.09,2
1,7,1,1,2,1,4,0,0,5,0,0.0,144.0,144.0,9,4.131300488104034,1,6.142063950132749,2
1,7,1,1,0,1,1,0,0,1,0,0.0,118.0,118.0,1,4.69,1,10.0,2
1,7,1,1,0,1,1,0,0,6,0,0.0,100.0,100.0,7,4.161340752916811,1,10.0,2
1,7,1,0,2,1,1,0,0,1,0,0.0,96.7,96.7,1,3.97,1,10.0,2
4,5,0,0,0,1,1,0,0,4,2,0.0,95.0,95.0,9,3.374174554582029,1,6.926000560676771,2
4,5,2,2,1,2,1,1,0,4,1,0.0,85.3,85.3,2,4.471756822648831,1,4.743160567932588,2
1,7,1,1,3,1,1,0,0,5,0,0.0,68.0,68.0,10,4.559374261686095,1,0.0,0
1,7,1,1,0,2,4,0,0,1,0,0.0,64.0,64.0,1,4.47,1,0.0,0
4,5,1,5,3,1,1,0,0,1,0,0.0,63.3,63.3,1,5.56,2,0.0,0
1,7,1,1,2,1,1,3,2,5,0,0.0,61.7,61.7,1,3.78,1,5.77,2
4,5,2,2,1,3,4,1,0,4,1,0.0,59.7,59.7,2,5.665857348956685,2,2.044649659471315,1
1,7,1,1,0,1,1,0,0,2,0,0.0,56.7,56.7,7,4.28,1,10.0,2
1,7,3,1,0,1,1,0,0,4,2,0.0,48.7,48.7,7,3.968443311734772,1,10.0,2
1,7,1,1,3,1,1,3,0,1,0,0.0,48.0,48.0,4,3.95,1,0.0,0
2,3,3,1,2,1,3,0,0,2,0,0.0,47.0,47.0,7,4.282892565168507,1,0.0,0
4,5,3,5,2,1,1,0,0,4,3,0.0,46.7,46.7,5,3.94,1,6.13,2
4,5,3,5,3,1,1,0,0,4,0,0.0,46.0,46.0,9,3.86914354749254,1,10.0,2
3,5,3,4,0,3,4,0,0,4,2,0.0,42.3,42.3,1,4.62,1,5.88,2
1,7,1,1,0,1,1,0,0,1,0,0.0,40.3,40.3,1,3.94,1,10.0,2
4,6,0,5,0,1,1,0,2,4,0,0.0,33.0,33.0,11,4.47,1,10.0,2
1,1,1,1,0,1,1,0,2,1,0,0.0,32.7,32.7,1,4.47,1,5.98,2
3,6,0,4,0,3,2,0,2,3,3,0.0,31.7,31.7,12,4.15,1,10.0,2
4,6,3,0,1,1,4,0,2,4,0,0.0,31.3,31.3,9,3.480289008527159,1,10.0,2
3,6,3,4,0,3,3,0,2,4,0,0.0,31.0,31.0,1,10.0,2,10.0,2
1,1,0,1,0,1,1,0,2,4,0,0.0,30.7,30.7,7,4.1,1,10.0,2
1,1,1,1,2,1,4,0,2,5,0,0.0,28.7,28.7,6,3.56,1,6.01,2
4,6,3,5,0,1,4,0,2,3,3,0.0,27.3,27.3,6,4.22,1,0.0,0
1,1,1,1,2,1,4,0,2,1,0,0.0,25.0,25.0,6,5.67,2,0.0,0
4,6,1,0,0,1,4,0,2,5,0,0.0,24.0,24.0,7,3.967469784634358,1,5.952233637308093,2
1,1,3,1,0,1,4,0,2,4,2,0.0,23.3,23.3,7,4.91,1,5.78,2
1,1,1,1,0,1,1,0,2,2,0,0.0,21.7,21.7,8,3.56,1,10.0,2
1,1,0,1,2,1,4,0,2,4,0,0.0,21.3,21.3,6,4.07,1,5.87,2
4,6,1,5,0,1,1,0,1,5,0,0.0,21.0,21.0,1,4.44,1,6.57,2
3,6,3,4,0,3,4,0,1,4,0,0.0,18.3,18.3,12,2.93,0,6.04,2
4,6,2,2,1,0,1,1,2,4,1,0.0,18.0,18.0,2,5.681155631963191,2,6.474997114163685,2
1,1,2,2,1,1,1,1,2,4,1,0.0,17.7,17.7,2,3.357346443274871,1,2.990880757243449,1
4,6,0,5,2,1,4,0,1,4,0,0.0,17.3,17.3,7,4.43,1,5.9,2
4,6,1,5,2,0,4,0,1,4,0,0.0,17.0,17.0,6,3.19,1,0.0,0
4,6,3,0,2,1,1,0,1,5,0,0.0,16.7,16.7,1,3.243721923126547,1,6.242611434508007,2
3,6,0,4,2,0,1,0,1,4,3,0.0,16.7,16.7,5,3.17,1,3.0,2
1,1,3,1,0,1,1,0,1,5,0,0.0,15.7,15.7,8,2.45,0,6.56,2
1,1,1,1,2,1,1,0,1,1,0,0.0,15.0,15.0,4,3.27,1,10.0,2
4,6,1,0,0,0,3,0,1,4,1,0.0,14.0,14.0,4,4.14,1,10.0,2
3,6,0,4,0,3,3,0,1,4,0,0.0,12.7,12.7,8,10.0,2,0.0,0
