Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,SR,SR_Function,SR_Benefit,SR Benefit Rating
3,6,0,4,0,3,2,0,2,4,0,5.0,29.0,24.0,1,0.48,0,0.0,0
2,4,0,1,0,1,0,0,0,3,0,4.7,500.0,500.0,1,10.0,2,0.0,0
0,8,0,0,3,1,0,0,0,4,0,4.7,254.7,250.0,0,7.48,2,0.0,0
0,2,0,4,2,2,0,0,0,4,0,4.7,165.0,160.3,1,10.0,2,0.0,0
2,4,1,0,0,1,2,0,0,5,0,4.7,139.0,134.3,1,1.13,0,4.27,1
1,1,1,1,0,1,3,0,1,2,0,4.7,14.0,9.3,7,3.62,1,10.0,2
2,3,0,4,2,1,2,0,0,3,0,4.3,128.7,124.3,0,10.0,2,0.0,0
0,8,0,0,0,1,0,0,0,3,0,4.3,91.3,87.0,0,6.04,1,10.0,2
1,7,2,2,1,1,3,1,0,2,1,4.0,130.0,126.0,2,2.658599369179684,0,4.784844986185036,1
2,3,0,0,0,2,0,0,0,3,0,4.0,88.0,84.0,1,6.04,1,0.0,0
3,5,2,2,1,3,2,1,0,3,1,4.0,80.3,76.3,2,0.3412735576158163,0,0.0,0
3,6,2,2,1,0,4,1,0,4,1,4.0,80.0,76.0,2,10.0,2,0.0,0
4,5,0,0,2,1,2,0,0,5,0,3.7,110.7,107.0,1,10.0,2,0.0,0
3,6,0,4,0,3,2,0,2,4,0,3.7,29.3,25.6,1,10.0,2,0.0,0
2,3,1,1,2,1,3,0,2,5,0,3.3,36.3,33.0,1,10.0,2,0.0,0
4,6,1,5,0,2,3,0,2,5,0,3.0,27.0,24.0,4,1.38,0,5.67,1
2,3,0,0,0,1,2,0,1,4,2,3.0,15.0,12.0,1,6.94,1,0.0,0
2,4,0,1,0,1,2,0,0,4,0,2.7,143.3,140.6,1,10.0,2,0.0,0
3,5,0,4,0,1,2,0,0,4,0,2.7,98.7,96.0,1,0.76,0,0.0,0
0,0,0,1,2,1,2,0,0,4,0,2.7,48.3,45.59999999999999,0,10.0,2,0.0,0
4,5,0,5,2,1,2,0,0,4,0,2.3,67.3,65.0,7,2.623794999927682,0,4.662535614486191,1
2,4,1,0,2,1,3,0,0,1,0,2.3,62.3,60.0,1,2.12,0,0.0,0
3,6,0,4,2,3,2,0,2,4,0,2.3,31.7,29.4,1,10.0,2,0.0,0
3,6,0,4,0,3,2,0,2,3,0,2.3,23.3,21.0,8,10.0,2,0.0,0
2,4,1,4,0,0,2,0,0,5,0,2.0,103.7,101.7,1,2.28,0,4.56,1
3,5,0,4,3,3,2,0,0,4,0,2.0,48.3,46.3,0,10.0,2,0.0,0
4,6,1,5,0,1,2,3,0,1,0,2.0,38.7,36.7,1,1.87,0,0.0,0
1,1,1,0,2,1,3,0,1,1,0,2.0,34.0,32.0,1,1.55,0,4.54,1
1,7,0,1,0,1,3,0,0,4,0,1.7,62.0,60.3,7,2.7,0,4.23,1
3,6,3,4,2,0,2,0,0,4,2,1.7,41.3,39.59999999999999,0,10.0,2,0.0,0
0,0,0,4,0,3,2,0,2,4,0,1.7,27.7,26.0,0,8.08,2,0.0,0
4,6,1,5,2,1,4,0,1,1,0,1.7,14.7,13.0,1,1.74,0,4.57,1
4,6,0,5,2,1,4,0,2,4,2,1.3,29.3,28.0,6,3.09,0,10.0,2
1,7,0,1,0,1,4,0,0,1,0,1.0,45.0,44.0,4,3.28,0,4.91,1
4,5,1,5,0,1,4,0,0,5,0,1.0,33.0,32.0,6,2.08,0,4.38,1
3,6,1,4,2,3,2,0,2,5,0,1.0,29.7,28.7,7,2.323729190471368,0,4.072010679252706,1
3,5,0,4,3,3,4,0,0,3,0,0.7,83.3,82.6,0,6.64,1,0.0,1
3,5,0,4,0,3,2,0,0,4,0,0.7,74.0,73.3,1,2.003138604839527,0,0.0,0
3,6,3,6,2,0,2,0,1,4,0,0.7,7.7,7.0,1,10.0,2,0.0,0
3,5,3,4,0,3,4,0,0,4,0,0.3,40.3,40.0,7,1.674192267268352,0,4.135076449034923,1
3,6,3,4,2,3,3,0,2,4,0,0.3,26.0,25.7,6,2.38,0,4.12,1
4,6,1,0,0,0,4,0,2,5,0,0.3,23.7,23.4,4,3.04,0,4.51,1
1,1,0,1,0,1,1,0,1,4,0,0.3,6.7,6.4,7,4.369850565010858,1,4.671852148658565,1
2,4,2,2,1,0,3,1,0,4,1,0.0,500.0,500.0,2,2.501767273174329,0,0.0,0
4,5,1,5,2,1,1,0,0,1,0,0.0,500.0,500.0,6,3.32,0,4.58,1
0,8,2,2,1,2,2,1,0,3,1,0.0,270.7,270.7,2,5.678271308523408,1,10.0,2
0,0,0,0,2,1,3,0,0,4,0,0.0,198.0,198.0,0,10.0,2,0.0,0
1,7,1,1,2,1,4,0,0,5,0,0.0,158.0,158.0,7,3.979041702739614,1,10.0,2
4,5,1,5,2,1,1,0,0,2,0,0.0,149.0,149.0,7,4.0,1,4.24,1
1,7,1,1,2,1,4,0,0,5,0,0.0,144.0,144.0,9,4.756432047862173,1,4.341473513776723,1
1,7,1,1,0,1,1,0,0,1,0,0.0,118.0,118.0,1,0.99,0,5.42,1
1,7,1,1,0,1,1,0,0,6,0,0.0,100.0,100.0,7,2.711626604170067,0,10.0,2
1,7,1,0,2,1,1,0,0,1,0,0.0,96.7,96.7,1,3.32,0,5.12,1
4,5,0,0,0,1,1,0,0,4,2,0.0,95.0,95.0,9,3.146157559409307,0,4.884221350690346,1
4,5,2,2,1,2,1,1,0,4,1,0.0,85.3,85.3,2,1.87875150060024,0,5.432702439402354,1
1,7,1,1,3,1,1,0,0,5,0,0.0,68.0,68.0,10,3.249001623024425,0,0.0,0
1,7,1,1,0,2,4,0,0,1,0,0.0,64.0,64.0,1,3.98,1,0.0,0
