Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,SR,SR_Function,SR_Benefit,SR Benefit Rating,PR,PR_Function,PR_Benefit,PR Benefit Rating,NR,NR_Function,NR_Benefit,NR Benefit Rating,WS,WS_Function,WS_Benefit,WS Benefit Score
4,3,3,4,0,0,4,0,0,4,0,0.0,450.0,450.0,3,3.32,0,4.58,1,3.84,1,10.0,2,3.54,1,10.0,2,4.54,1,3.52,1
0,0,2,2,2,2,1,1,0,0,1,0.0,450.0,450.0,2,2.501767273174329,0,0.0,0,6.920733781390384,2,5.3272538381623,2,1.363855143460955,0,10.0,2,4.36,1,10.0,2
2,7,2,2,2,3,2,1,0,2,1,0.0,270.7,270.7,2,5.678271308523408,1,10.0,2,10.0,2,10.0,2,10.0,2,10.0,2,8.41897233201581,2,0.0,0
2,5,0,1,0,0,1,0,0,0,0,0.0,198.0,198.0,0,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,6.55,2,0.0,0
1,4,3,0,0,0,3,0,0,3,0,0.0,158.0,158.0,4,3.979041702739614,1,10.0,2,4.173023078121778,1,10.0,2,3.731104936086877,1,10.0,2,1.843591191417278,0,0.0,0
4,3,3,4,0,0,4,0,0,1,0,0.0,149.0,149.0,4,4.0,1,4.24,1,4.22,1,6.09,2,4.9,2,4.02,1,5.08,1,0.0,0
1,4,3,0,0,0,3,0,0,3,0,0.0,144.0,144.0,7,4.756432047862173,1,4.341473513776723,1,4.131300488104034,1,6.142063950132749,2,3.792245634930882,1,3.717948717948717,1,3.082439299830604,1,0.0,0
1,4,3,0,1,0,4,0,0,4,0,0.0,118.0,118.0,1,0.99,0,5.42,1,4.69,1,10.0,2,1.28,0,5.96,1,0.6,0,4.37,1
1,4,3,0,1,0,4,0,0,6,0,0.0,100.0,100.0,4,2.711626604170067,0,10.0,2,4.161340752916811,1,10.0,2,2.817138574651931,1,10.0,2,1.43647656691135,0,0.0,0
1,4,3,1,0,0,4,0,0,4,0,0.0,96.7,96.7,1,3.32,0,5.12,1,3.97,1,10.0,2,2.32,1,5.06,1,2.04,0,3.16,1
4,3,0,1,1,0,4,0,0,0,2,0.0,95.0,95.0,7,3.146157559409307,0,4.884221350690346,1,3.374174554582029,1,6.926000560676771,2,2.424686608168594,1,10.0,2,3.635234330886505,1,0.0,0
4,3,2,2,2,3,4,1,0,0,1,0.0,85.3,85.3,2,1.87875150060024,0,5.432702439402354,1,4.471756822648831,1,4.743160567932588,2,0.07719848855891819,0,5.811965811965811,1,-0.3342744212309428,0,3.465028842891076,1
1,4,3,0,3,0,4,0,0,3,0,0.0,68.0,68.0,10,3.249001623024425,0,0.0,0,4.559374261686095,1,0.0,0,2.785708504582421,1,3.269230769230769,1,2.18351214003388,0,0.0,0
1,4,3,0,1,3,3,0,0,4,0,0.0,64.0,64.0,1,3.98,1,0.0,0,4.47,1,0.0,0,3.44,1,10.0,2,2.1,0,3.82,1
4,3,3,4,3,0,4,0,0,4,0,0.0,63.3,63.3,1,0.75,0,0.0,0,5.56,2,0.0,0,2.18,0,0.0,0,1.92,0,0.0,0
1,4,3,0,0,0,4,2,1,3,0,0.0,61.7,61.7,1,2.32,0,4.1,1,3.78,1,5.77,2,2.0,0,3.72,1,1.52,0,0.0,0
4,3,2,2,2,1,3,1,0,0,1,0.0,59.7,59.7,2,-0.5362702309839602,0,0.0,0,5.665857348956685,2,2.044649659471315,1,0.9810330611553465,0,10.0,2,0.3083003952569168,0,0.0,0
1,4,3,0,1,0,4,0,0,1,0,0.0,56.7,56.7,4,3.5,1,5.18,1,4.28,1,10.0,2,3.14,1,10.0,2,3.98,1,0.0,0
1,4,1,0,1,0,4,0,0,0,2,0.0,48.7,48.7,4,3.541416566626651,1,10.0,2,3.968443311734772,1,10.0,2,3.13317542991532,1,10.0,2,1.893986448334274,0,5.603013233797082,2
1,4,3,0,3,0,4,2,0,4,0,0.0,48.0,48.0,8,4.32,1,0.0,0,3.95,1,0.0,0,2.59,1,10.0,2,2.66,0,0.0,0
0,6,1,0,0,0,1,0,0,1,0,0.0,47.0,47.0,4,3.394537246912535,0,0.0,0,4.282892565168507,1,0.0,0,3.157519072120372,1,0.0,0,2.0214568040655,0,0.0,0
4,3,1,4,0,0,4,0,0,0,3,0.0,46.7,46.7,5,3.18,0,4.33,1,3.94,1,6.13,2,3.17,1,10.0,2,2.19,0,0.0,0
4,3,1,4,3,0,4,0,0,0,0,0.0,46.0,46.0,7,2.424969987995197,0,4.767645230789886,1,3.86914354749254,1,10.0,2,2.784675320416935,1,10.0,2,1.592603049124788,0,0.0,0
3,3,1,3,1,1,3,0,0,0,2,0.0,42.3,42.3,1,4.14,1,4.17,1,4.62,1,5.88,2,3.36,1,10.0,2,5.54,1,0.0,0
1,4,3,0,1,0,4,0,0,4,0,0.0,40.3,40.3,1,2.69,0,5.87,1,3.94,1,10.0,2,2.16,0,10.0,2,1.49,0,10.0,2
4,8,0,4,1,0,4,0,1,0,0,0.0,33.0,33.0,11,4.27,1,10.0,2,4.47,1,10.0,2,3.17,1,10.0,2,3.01,1,0.0,0
1,1,3,0,1,0,4,0,1,4,0,0.0,32.7,32.7,1,2.69,0,4.24,1,4.47,1,5.98,2,1.89,0,3.72,1,1.37,0,0.0,0
3,8,0,3,1,1,2,0,1,2,3,0.0,31.7,31.7,12,1.38,0,10.0,2,4.15,1,10.0,2,1.59,0,10.0,2,0.51,0,3.55,1
4,8,1,1,2,0,3,0,1,0,0,0.0,31.3,31.3,7,2.364945978391357,0,5.185217070105473,1,3.480289008527159,1,10.0,2,2.146083939779544,0,10.0,2,1.641727837380011,0,5.280298608754666,1
3,8,1,3,1,1,1,0,1,0,0,0.0,31.0,31.0,1,10.0,2,10.0,2,10.0,2,10.0,2,10.0,2,10.0,2,6.68,2,0.0,0
1,1,0,0,1,0,4,0,1,0,0,0.0,30.7,30.7,4,3.14,0,10.0,2,4.1,1,10.0,2,3.86,1,10.0,2,5.57,1,0.0,0
1,1,3,0,0,0,3,0,1,3,0,0.0,28.7,28.7,3,2.25,0,4.26,1,3.56,1,6.01,2,4.12,2,4.62,1,5.11,1,0.0,0
4,8,1,4,1,0,3,0,1,2,3,0.0,27.3,27.3,3,2.31,0,0.0,2,4.22,1,0.0,0,2.12,0,0.0,0,5.86,1,0.0,0
1,1,3,0,0,0,3,0,1,4,0,0.0,25.0,25.0,3,3.68,1,0.0,0,5.67,2,0.0,0,4.04,1,0.0,0,4.91,1,0.0,0
4,8,3,1,1,0,3,0,1,3,0,0.0,24.0,24.0,4,3.50558166467964,1,4.217253058145084,1,3.967469784634358,1,5.952233637308093,2,4.308938503776877,2,4.615384615384615,1,2.450310559006211,0,0.0,0
1,1,1,0,1,0,3,0,1,0,2,0.0,23.3,23.3,4,3.14,0,4.11,1,4.91,1,5.78,2,3.0,1,3.72,1,2.4,0,0.0,0
1,1,3,0,1,0,4,0,1,1,0,0.0,21.7,21.7,6,3.14,0,4.97,1,3.56,1,10.0,2,2.18,0,5.81,1,1.71,0,4.47,1
1,1,0,0,0,0,3,0,1,0,0,0.0,21.3,21.3,3,2.11,0,4.17,1,4.07,1,5.87,2,3.17,1,4.62,1,5.03,1,0.0,0
4,8,3,4,1,0,4,0,2,3,0,0.0,21.0,21.0,1,1.12,0,4.62,1,4.44,1,6.57,2,0.75,0,5.06,1,0.49,0,0.0,0
3,8,1,3,1,1,3,0,2,0,0,0.0,18.3,18.3,12,1.41,0,4.21,1,2.93,0,6.04,2,2.0,0,4.02,1,4.67,1,0.0,0
4,8,2,2,2,2,4,1,1,0,1,0.0,18.0,18.0,2,2.845138055222089,0,4.559337082115291,1,5.681155631963191,2,6.474997114163685,2,2.565028976702409,1,10.0,2,1.171654432523998,0,0.0,0
1,1,2,2,2,0,4,1,1,0,1,0.0,17.7,17.7,2,2.436974789915967,0,0.0,0,3.357346443274871,1,2.990880757243449,1,2.478023727786216,1,10.0,2,1.813241106719368,0,0.0,0
4,8,0,4,0,0,3,0,2,0,0,0.0,17.3,17.3,4,4.41,1,4.18,1,4.43,1,5.9,2,3.86,1,3.72,1,5.18,1,0.0,0
4,8,3,4,0,2,3,0,2,0,0,0.0,17.0,17.0,3,4.25,1,0.0,0,3.19,1,0.0,0,2.21,0,0.0,0,2.53,0,0.0,0
3,8,0,3,0,2,4,0,2,0,3,0.0,16.7,16.7,5,3.3,0,4.25,1,3.17,1,3.0,2,3.27,1,4.62,1,2.48,0,0.0,0
4,8,1,1,0,0,4,0,2,3,0,0.0,16.7,16.7,1,3.549448393815356,1,4.344101254184316,1,3.243721923126547,1,6.242611434508007,2,3.531245082067082,1,4.764957264957264,1,5.756634669678149,1,10.0,2
1,1,1,0,1,0,4,0,2,3,0,0.0,15.7,15.7,6,3.5,1,4.56,1,2.45,0,6.56,2,2.25,1,5.51,1,2.7,1,0.0,0
1,1,3,0,0,0,4,0,2,4,0,0.0,15.0,15.0,8,3.15,0,4.95,1,3.27,1,10.0,2,2.88,1,10.0,2,1.66,0,10.0,2
4,8,3,1,1,2,1,0,2,0,1,0.0,14.0,14.0,8,0.12,0,5.17,1,4.14,1,10.0,2,0.25,0,10.0,2,0.87,0,3.65,1
3,8,0,3,1,1,1,0,2,0,0,0.0,12.7,12.7,6,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,6.783596837944664,2,0.0,0
3,8,0,5,0,2,1,0,2,0,0,0.0,12.3,12.3,12,4.477791116446578,1,0.0,0,1.413490974348147,0,0.0,0,1.620797139584754,0,10.0,2,5.296442687747035,1,10.0,2
4,8,3,4,0,0,4,0,2,3,0,0.0,9.7,9.7,1,1.95,0,0.0,0,4.95,1,2.99,1,2.0,0,10.0,2,1.34,0,5.79,2
4,8,0,4,1,0,3,0,2,0,0,0.0,9.0,9.0,3,2.78,0,0.0,0,3.17,1,0.0,2,2.36,1,0.0,0,2.14,0,0.0,0
1,1,1,0,1,0,4,0,2,3,0,0.0,9.0,9.0,4,3.054461457560648,0,4.495602432956596,1,4.423080467628129,1,6.377599561352882,2,2.845198868984051,1,10.0,2,4.368294748729531,1,0.0,0
4,8,1,4,1,0,4,0,2,0,0,0.0,9.0,9.0,8,2.25,0,5.6,1,3.39,1,10.0,2,0.87,0,10.0,2,2.04,0,10.0,2
3,8,1,3,1,1,4,0,2,0,0,0.0,9.0,9.0,8,5.68,1,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,10.4,2,0.0,0
4,8,1,4,1,0,4,0,2,3,0,0.0,8.3,8.3,8,3.98402734587811,1,4.710312712806052,1,3.163892700892594,1,6.705713955904421,2,3.782522561593126,1,10.0,2,2.693393562958781,0,0.0,0
1,1,3,0,0,2,4,0,2,4,0,0.0,8.3,8.3,1,2.1,0,4.86,1,3.86,1,6.93,2,2.77,1,10.0,2,1.51,0,10.0,2
4,8,0,4,0,2,4,0,2,0,0,0.0,7.0,7.0,8,3.42,1,0.0,0,3.76,1,0.0,0,1.59,0,10.0,2,2.72,1,10.0,2
4,8,3,0,0,0,4,0,2,6,0,0.0,4.0,4.0,4,3.12,0,4.22,1,2.55,0,5.95,2,3.23,1,3.72,1,1.93,0,0.0,0
1,1,1,0,0,0,4,0,2,1,0,0.0,4.0,4.0,1,3.018853841020056,0,0.0,0,2.886854703174771,0,0.0,0,2.484253220548712,1,0.0,0,5.158808582721626,1,0.0,0
4,8,0,4,1,3,3,0,2,3,0,0.0,2.3,2.3,7,2.360944377751101,0,0.0,0,2.102052784940993,0,0.0,0,2.881588501602455,1,10.0,2,1.632128740824393,0,0.0,0
1,1,3,0,1,0,4,0,2,1,0,0.0,2.0,2.0,1,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,7.411773009599097,2,0.0,0
1,1,2,2,2,0,4,1,2,0,1,0.0,1.3,1.3,2,2.352772649507306,0,4.651069110889424,1,3.336624223566059,1,6.177109546346532,2,1.55857338686897,0,10.0,2,1.112365894974591,0,10.0,2
1,1,2,2,2,0,4,1,2,1,1,0.0,1.0,1.0,2,1.772078452723602,0,4.364406520970258,1,4.22531539094402,1,10.0,2,2.189940075290342,0,10.0,2,0.5580180688876342,0,0.0,0
2,5,0,1,1,2,0,0,0,5,0,0.0,0.0,0.0,0,5.68,1,10.0,2,10.0,2,10.0,2,10.0,2,10.0,2,8.42,2,3.74,1
1,1,2,2,2,0,4,1,2,1,1,0.0,0.0,0.0,2,2.030399293968878,0,5.151773101281569,1,3.822553321972724,1,7.013614551211226,2,1.870019156612679,0,10.0,2,0.01355166572557872,0,4.070118764845606,1
1,1,3,0,1,0,4,0,2,4,0,0.0,0.0,0.0,1,2.72,0,0.0,0,4.24,1,0.0,0,3.56,1,0.0,0,4.46,1,0.0,0
4,8,2,2,2,3,3,1,2,0,1,0.0,0.0,0.0,2,1.136591684866718,0,0.0,0,5.200511394958771,1,4.159067297702875,1,2.006011515932103,0,10.0,2,-0.5714285714285713,0,3.565877163216831,1
4,8,2,2,2,3,4,1,2,1,1,0.0,0.0,0.0,2,2.132853141256503,0,4.628136103695891,1,3.374174554582029,1,10.0,2,3.428555185885706,1,10.0,2,0.726990400903445,0,10.0,2
3,8,2,2,2,1,4,1,2,3,1,0.0,0.0,0.0,2,1.071415011787847,0,5.045325726224918,1,3.658444467902927,1,7.217671707260766,2,1.570516742590589,0,10.0,2,0.8949745906267642,0,0.0,0
5,9,2,2,2,0,4,1,2,1,1,0.0,0.0,0.0,2,1.396734037849219,0,0.0,0,3.082394575057934,1,2.262433007371251,1,1.144884927619434,0,3.568376068376068,1,-0.6900056465273857,0,10.0,2
3,8,1,5,1,1,4,0,2,0,0,0.0,0.0,0.0,8,10.0,2,4.97,1,10.0,2,10.0,2,10.0,2,10.0,2,8.13,2,10.0,2
1,1,3,0,0,0,4,0,2,4,0,0.0,0.0,0.0,8,1.91,0,4.75,1,4.15,1,6.47,2,1.97,0,4.62,1,0.88,0,0.0,0
4,8,3,4,0,3,4,0,2,3,0,0.0,0.0,0.0,8,2.26,0,5.25,1,3.35,1,10.0,2,2.93,1,10.0,2,1.81,0,10.0,2
4,8,1,4,3,0,4,0,2,0,2,0.0,0.0,0.0,7,3.07,0,4.42,1,2.65,0,6.27,2,3.33,1,10.0,2,1.77,0,0.0,0
