Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,SR,SR_Function,SR_Benefit,SR Benefit Rating,PR,PR_Function,PR_Benefit,PR Benefit Rating,NR,NR_Function,NR_Benefit,NR Benefit Rating,WS,WS_Function,WS_Benefit,WS Benefit Score
2,7,2,2,2,0,1,1,0,2,1,7.7,97.7,90.0,2,5.678271308523408,1,0.0,0,10.0,2,0.0,0,10.0,2,10.0,2,7.430830039525692,2,0.0,0
0,6,0,1,3,0,0,0,0,2,0,7.7,68.3,60.6,1,2.44,0,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,6.28,1,10.0,2
0,6,0,0,0,0,2,1,0,0,0,7.7,63.5,55.8,4,1.28,0,4.52,1,4.26,1,5.84,2,1.18,0,3.72,1,0.38,0,0.0,0
3,8,0,3,3,1,2,0,2,3,0,7.7,31.0,23.3,1,-0.49,0,4.71,1,3.52,1,6.42,2,0.26,0,4.62,1,0.52,0,0.0,0
2,5,0,1,1,0,0,0,0,2,0,7.3,213.0,205.7,0,6.28,1,0.0,0,10.0,2,0.0,0,10.0,2,10.0,2,8.22,2,0.0,0
0,6,0,1,3,0,0,0,0,2,0,7.3,68.7,61.4,1,3.52,1,0.0,0,10.0,2,1.93,0,10.0,2,0.0,0,6.28,1,10.0,2
3,3,3,3,1,1,2,0,0,3,0,7.3,53.7,46.4,1,1.08,0,0.0,0,6.19,2,0.0,0,1.65,0,0.0,0,3.73,1,0.0,0
4,8,3,1,0,3,0,0,1,3,0,7.3,23.3,16.0,6,2.256947959906853,0,0.0,0,3.841467562780769,1,0.0,0,2.883196014612875,1,10.0,2,5.021456804065501,1,0.0,0
2,2,0,1,0,0,0,0,0,0,0,7.0,264.0,257.0,0,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,6.546442687747036,2,0.0,0
0,0,0,1,1,0,0,0,0,5,1,7.0,70.0,63.0,0,1.26,0,0.0,0,6.71,2,0.0,0,0.75,0,0.0,0,1.36,0,0.0,0
2,5,0,0,0,0,0,0,0,0,0,6.7,115.3,108.6,0,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,6.74407114624506,2,0.0,0
0,0,0,0,0,0,0,0,0,3,0,6.7,105.0,98.3,3,4.29,1,3.75,1,4.18,1,5.24,2,1.98,0,0.0,0,2.94,1,0.0,0
