Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,NR,NR_Function,NR_Benefit,NR Benefit Rating
1,1,0,1,0,1,1,0,2,4,0,0.0,30.7,30.7,7,3.86,1,10.0,2
1,1,1,1,2,1,4,0,2,5,0,0.0,28.7,28.7,6,4.12,2,4.62,1
4,6,3,5,0,1,4,0,2,3,3,0.0,27.3,27.3,6,2.12,0,0.0,0
1,1,1,1,2,1,4,0,2,1,0,0.0,25.0,25.0,6,4.04,1,0.0,0
4,6,1,0,0,1,4,0,2,5,0,0.0,24.0,24.0,7,4.308938503776877,2,4.615384615384615,1
1,1,3,1,0,1,4,0,2,4,2,0.0,23.3,23.3,7,3.0,1,3.72,1
1,1,1,1,0,1,1,0,2,2,0,0.0,21.7,21.7,8,2.18,0,5.81,1
1,1,0,1,2,1,4,0,2,4,0,0.0,21.3,21.3,6,3.17,1,4.62,1
4,6,1,5,0,1,1,0,1,5,0,0.0,21.0,21.0,1,0.75,0,5.06,1
3,6,3,4,0,3,4,0,1,4,0,0.0,18.3,18.3,12,2.0,0,4.02,1
4,6,2,2,1,0,1,1,2,4,1,0.0,18.0,18.0,2,2.565028976702409,1,10.0,2
1,1,2,2,1,1,1,1,2,4,1,0.0,17.7,17.7,2,2.478023727786216,1,10.0,2
4,6,0,5,2,1,4,0,1,4,0,0.0,17.3,17.3,7,3.86,1,3.72,1
4,6,1,5,2,0,4,0,1,4,0,0.0,17.0,17.0,6,2.21,0,0.0,0
4,6,3,0,2,1,1,0,1,5,0,0.0,16.7,16.7,1,3.531245082067082,1,4.764957264957264,1
3,6,0,4,2,0,1,0,1,4,3,0.0,16.7,16.7,5,3.27,1,4.62,1
