OF18,OF22,OF25,OF27,OF28,F50,SFST_Benefit
0.22,1,3,2192,0,5,0.0
0.54,1,3,2272,0,4,2.177
0.45,4,3,1358,0,5,0.0
0.24,2,3,1955,2,5,4.166
0.82,4,1,2183,2,5,0.0
0.308,2,1,2079,2,5,5.155
0.71,1,1,1523,0,5,1.894
0.5,2,2,2221,0,4,4.438
0.83,3,3,2043,0,5,0.946
0.42,3,3,1854,2,5,0.0
0.3,3,3,2283,0,4,0.0
0.52,3,3,1339,2,5,0.0
0.146,1,3,2139,2,4,0.0
0.3,1,1,1608,2,4,5.493
0.01,2,2,1426,2,5,3.346
0.04,2,2,1799,2,5,5.712
0.57,2,3,1329,2,3,3.735
0.6,1,3,1418,0,5,2.122
0.0787,1,3,1670,2,5,0.0
0.58,4,3,1551,0,5,0.0
0.58,3,3,1551,0,5,0.0
0.1,3,1,1945,2,4,3.243
0.03,3,1,2181,0,5,0.0
0.061,3,3,2038,2,5,0.0
0.469,3,2,2083,2,5,4.929
0.907,2,2,1669,1,5,4.334
0.03,1,2,2026,2,5,0.0
0.47,1,2,2008,2,5,3.624
0.26,1,3,2003,1,5,4.665
0.01,2,3,2194,2,5,4.752
0.0202,3,2,1883,2,5,5.355
0.86,3,2,1911,0,5,0.0
0.1,3,3,2217,0,4,0.0
0.29,2,3,1735,2,5,2.411
0.111,1,2,1864,2,4,0.0
0.378,4,3,2175,0,5,0.0
0.76,3,3,1973,0,5,0.0
0.36,3,3,2166,0,5,0.0
0.47,4,3,2079,0,5,0.0
0.634,1,3,2032,0,5,0.0
0.2115,1,2,1888,2,5,0.0
0.127,3,3,2232,0,5,1.7
0.106,3,3,2232,0,5,1.719
0.49,2,3,2217,2,5,0.0
0.36,2,2,2228,2,4,3.796
0.3,1,2,2026,2,5,3.788
0.01,1,2,1987,2,5,6.434
0.16,2,2,1968,0,5,2.684
0.56,2,2,1479,2,5,2.891
0.6,3,3,2195,0,5,0.0
0.6,3,3,2195,0,5,0.0
0.39,3,3,2009,0,5,0.0
0.31,3,3,2241,0,5,0.0
0.26,1,3,2292,2,5,4.976
0.77,3,3,1493,2,5,0.0
0.73,1,2,1418,0,5,3.364
0.42,1,3,1340,0,5,2.295
0.54,3,1,1887,0,5,1.695
0.16,1,3,1632,2,5,4.409
0.41,1,3,1348,1,4,4.103
0.55,1,3,1407,0,5,1.363
0.025,3,2,2017,2,5,5.492
0.2,2,1,1971,2,5,5.193
0.005,2,3,2039,0,5,0.0
0.75,2,1,1363,0,5,0.0
0.28,3,3,1824,2,5,0.0
0.006,1,0,2146,2,5,0.0
0.49,2,2,1421,0,4,3.591
0.75,2,3,1337,0,5,0.672
0.82,3,3,1408,2,5,0.0
0.23,2,1,1624,0,4,0.0
0.16,3,3,2075,0,5,0.0
0.47,3,3,1692,0,5,0.0
0.001,2,2,1945,2,3,6.639
