OF8,OF17,OF18,OF23,OF24,F51,WS_Benefit
5,4,0.81,1,3,0,2.025
4,4,0.01,1,3,2,1.02
4,4,0.19,1,3,0,0.475
5,1,0.27,1,2,2,10.0
4,4,0.12,1,3,2,1.24
4,2,0.603,1,3,2,2.706
3,4,0.528,2,3,0,3.195
2,1,0.17,1,3,0,10.0
4,4,0.34,1,2,0,2.1
4,4,0.5,1,3,0,1.25
4,4,0.6,1,3,0,1.5
4,1,0.00085,2,3,0,10.0
3,2,0.086,1,3,0,0.84
3,1,0.75,3,1,0,10.0
4,1,0.166,2,3,0,10.0
2,1,0.865,3,3,0,10.0
4,1,0.29,3,3,2,10.0
5,4,0.66,1,3,0,1.65
4,4,0.0129,1,3,0,0.032
4,4,0.72,1,3,0,1.8
4,4,0.72,1,3,0,1.8
3,4,0.41,1,2,0,2.275
3,4,0.41,1,2,0,2.275
4,4,0.24,1,3,0,0.6
4,4,0.24,1,3,0,0.6
4,4,0.59,1,3,0,1.475
4,4,0.11,1,3,0,0.275
4,4,0.54,1,3,0,1.35
3,2,0.26,1,1,0,3.775
4,4,0.06,2,3,1,3.62
4,4,0.19,1,2,0,1.725
5,4,2146.0,1,2,0,5366.25
4,2,0.1,1,1,2,3.7
4,4,0.9,1,3,0,2.25
4,1,0.39,1,3,2,10.0
