OF18,OF19,OF20,OF21,OF22,OF23,OF24,F24,F28,F41,F50,F52,F55,S4,SR_Benefit
0.71,0,4,4,1,1,3,2,2,1,5,0,4,0.0,3.948
0.5,0,4,4,2,2,3,2,1,0,4,2,4,0.0,0.868
0.83,0,4,4,3,1,3,2,2,0,5,0,4,0.0,0.24
0.42,0,4,4,3,1,3,4,2,0,5,0,4,0.0,0.435
0.3,0,0,2,3,2,3,5,1,0,4,1,4,0.0,10.0
0.52,0,0,0,3,1,3,3,1,0,5,0,4,0.0,10.0
0.146,0,0,1,1,2,3,6,0,0,4,2,4,0.0,10.0
0.3,0,0,0,1,1,2,5,2,1,4,3,4,0.0,10.0
0.01,0,4,4,2,1,3,2,2,0,5,0,4,0.0,0.789
0.04,0,4,4,2,1,2,4,1,1,5,0,4,0.0,4.346
0.57,1,4,4,2,2,2,1,2,0,3,3,4,0.0,10.0
0.6,0,4,4,1,1,3,1,2,1,5,0,4,0.0,4.0
0.0787,0,4,4,1,2,3,6,0,0,5,0,4,0.0,1.153
0.58,0,4,4,4,1,3,5,1,0,5,0,4,0.0,0.467
0.58,0,4,4,3,1,3,5,1,0,5,0,4,0.0,0.359
0.1,0,4,4,3,1,3,5,1,0,4,1,4,0.0,0.618
0.03,0,4,4,3,3,3,6,0,0,5,0,4,0.0,1.097
0.061,0,4,4,3,0,3,6,0,0,5,0,4,0.0,0.606
0.469,0,4,4,3,1,2,2,1,0,5,0,4,0.0,0.65
0.907,0,4,4,2,1,3,5,1,1,5,0,4,0.0,3.695
0.03,0,4,4,1,1,3,5,1,0,5,0,4,0.0,0.938
0.47,0,4,4,1,1,3,3,1,0,5,0,4,0.0,0.729
0.26,0,4,4,1,1,2,2,2,1,5,0,4,0.0,4.4
0.01,0,4,4,2,2,3,2,2,1,5,0,4,0.023148148,4.36
0.0202,0,4,4,3,1,3,3,3,0,5,0,4,0.046296296,0.625
0.86,0,4,4,3,1,3,4,1,0,5,0,4,0.069444445,0.225
0.1,0,4,4,3,1,2,2,1,0,4,2,4,0.092592593,0.896
0.29,0,4,4,2,1,2,6,0,0,5,0,4,0.115740741,0.894
0.111,0,4,4,1,1,3,3,2,0,4,2,4,0.138888889,0.961
0.378,1,4,4,4,1,3,6,0,0,5,0,4,0.162037037,10.0
0.76,0,4,4,3,1,3,4,1,0,5,0,4,0.185185185,0.273
0.36,0,4,4,3,1,3,6,0,0,5,0,4,0.208333334,0.463
0.47,0,4,4,4,1,3,5,1,0,5,0,4,0.231481482,0.589
0.634,0,4,4,1,2,3,6,0,0,5,0,4,0.25462963,0.889
0.2115,0,4,4,1,3,3,6,0,0,5,0,4,0.277777778,1.328
0.127,0,4,4,3,1,3,4,1,0,5,0,4,0.300925926,0.574
0.106,0,4,4,3,1,3,2,2,0,5,0,4,0.324074074,0.584
0.49,0,4,4,2,1,3,6,0,0,5,0,4,0.347222223,0.56
0.36,0,4,4,2,2,3,6,0,0,4,2,4,0.370370371,0.926
0.3,0,4,4,1,1,3,5,1,0,5,0,4,0.393518519,0.81
0.01,0,4,4,1,2,3,5,3,0,5,0,4,0.416666667,1.384
0.16,0,4,4,2,1,3,4,1,0,5,0,4,0.401234568,0.717
0.56,0,4,4,2,1,3,5,1,0,5,0,4,0.385802469,0.527
0.6,0,4,4,3,1,3,5,1,0,5,0,4,0.370370371,0.349
0.6,0,4,4,3,1,3,6,0,0,5,0,4,0.354938272,0.349
0.39,0,4,4,3,1,2,5,1,0,5,0,4,0.339506173,0.687
0.31,0,4,4,3,1,2,6,0,0,5,0,4,0.324074074,0.725
0.26,0,4,4,1,1,3,1,2,1,5,0,4,0.308641976,4.162
0.77,0,4,4,3,1,3,4,2,0,5,0,4,0.293209877,0.268
0.73,0,4,4,1,1,3,1,2,0,5,0,4,0.277777778,0.605
0.42,0,4,4,1,1,3,2,2,1,5,0,4,0.262345679,4.086
0.54,0,4,4,3,1,2,3,2,1,5,0,4,0.24691358,3.949
0.16,0,4,4,1,1,2,2,2,1,5,0,4,0.231481482,4.448
0.41,0,4,4,1,2,2,1,3,1,4,3,4,0.216049383,4.794
0.55,0,4,4,1,1,3,1,2,1,5,0,4,0.200617284,4.024
0.025,0,4,4,3,2,3,5,1,0,5,0,4,0.185185185,0.861
0.2,0,4,4,2,1,3,4,1,0,5,0,4,0.169753087,0.698
0.005,1,4,4,2,2,3,6,0,0,5,0,4,0.154320988,10.0
0.75,0,4,4,2,1,3,5,1,0,5,0,4,0.138888889,0.437
0.28,0,4,4,3,1,3,6,0,0,5,0,4,0.12345679,0.502
0.006,0,4,4,1,1,3,5,1,0,5,0,4,0.108024691,0.95
0.49,0,4,4,2,1,3,5,1,0,4,2,4,0.092592593,0.664
0.75,0,4,4,2,1,3,4,2,0,5,0,4,0.077160494,0.437
0.82,0,4,4,3,1,3,5,1,0,5,0,4,0.061728395,0.244
0.23,0,4,4,2,1,3,2,2,0,4,2,4,0.046296296,0.772
0.16,0,4,4,3,1,3,5,1,0,5,0,4,0.030864198,0.559
0.47,0,4,4,3,1,3,6,0,0,5,0,4,0.015432099,0.411
0.001,0,4,4,2,2,2,3,1,0,3,2,4,0.0,1.388
0.08,0,4,4,1,1,3,4,1,0,5,0,4,0.0,0.914
0.01,0,4,2,2,1,2,5,2,0,3,4,4,0.0,5.0
0.37,0,4,4,2,1,3,4,1,0,5,0,4,0.0,0.617
0.212,0,4,4,3,1,3,6,0,0,5,0,4,0.0,0.534
0.12,0,4,4,1,1,3,6,0,0,4,2,4,0.0,0.957
0.28,0,4,4,2,1,2,4,3,1,5,0,4,0.0,4.232
0.67,0,4,4,3,1,2,1,2,1,3,2,4,0.0,4.096
0.156,0,4,4,2,1,3,5,1,0,5,0,4,0.0,0.719
0.45,0,4,4,2,1,3,2,2,1,5,0,4,0.0,3.913
0.17204,0,4,4,2,2,3,6,0,0,5,0,4,0.0,0.95
0.44,0,4,4,1,2,3,6,0,0,4,2,4,0.066666667,1.032
0.412,0,4,4,1,3,2,4,2,0,4,4,4,0.133333333,1.807
0.279,0,4,4,1,2,2,3,3,1,4,3,4,0.2,4.849
0.25,0,4,4,2,1,3,5,1,0,5,0,4,0.266666666,0.675
0.6162,0,4,4,2,2,3,4,1,0,5,0,4,0.333333333,0.897
0.15,0,4,4,3,1,3,5,1,0,4,1,4,0.25,0.597
0.12,0,4,4,2,1,3,2,2,0,5,0,4,0.166666667,0.737
0.18,0,4,4,0,1,3,4,2,0,5,0,4,0.083333333,0.39
0.16,0,4,4,3,1,3,6,0,0,4,2,4,0.0,0.662
0.51,0,4,4,3,1,3,4,2,0,5,0,4,0.0,0.392
0.53,1,4,4,3,1,3,4,1,0,5,0,4,0.0,10.0
0.81,0,4,4,3,1,3,5,1,0,5,0,4,0.0,0.249
0.01,0,4,4,1,1,3,1,4,1,4,3,4,0.0,4.544
0.19,0,4,4,2,1,3,2,1,0,5,0,4,0.0,0.703
0.27,0,4,4,3,1,2,5,2,0,4,2,4,0.0,0.825
0.12,0,4,4,2,1,3,6,0,0,3,3,4,0.0,1.131
0.603,0,4,4,2,1,3,1,2,0,4,2,4,0.0,0.617
0.528,0,4,4,2,2,3,4,3,1,5,0,4,0.0,4.114
0.17,0,4,4,3,1,3,5,1,0,5,0,4,0.0,0.554
0.34,0,4,4,2,1,2,2,2,0,5,0,4,0.0,0.87
0.5,0,4,4,2,1,3,3,2,1,5,0,4,0.0,3.889
0.6,0,4,4,2,1,3,5,1,0,5,0,4,0.0,0.508
0.00085,0,4,4,1,2,3,3,3,1,5,0,4,0.0,4.523
0.086,0,4,4,1,1,3,5,1,1,5,0,4,0.0,4.245
0.75,0,4,4,1,3,1,4,2,0,5,0,4,0.0,1.548
0.166,0,4,4,1,2,3,6,0,0,5,0,4,0.0,1.111
0.865,0,4,4,2,3,3,6,0,0,5,0,4,0.0,0.858
0.29,0,4,4,2,3,3,6,0,0,4,2,4,0.0,1.164
0.66,1,4,4,2,1,3,2,2,0,5,0,4,0.0,10.0
0.0129,0,4,4,2,1,3,6,0,0,5,0,4,0.0,0.788
0.72,0,4,4,2,1,3,5,1,0,5,0,4,0.0,0.451
0.72,0,4,4,2,1,3,5,1,0,5,0,4,0.0,0.451
0.41,0,4,4,3,1,2,5,1,0,5,0,4,0.0,0.678
0.41,0,4,4,3,1,2,5,1,0,5,0,4,0.0,0.678
0.24,0,4,4,1,1,3,1,2,0,5,0,4,0.0,0.838
0.24,0,4,4,3,1,3,3,1,0,5,0,4,0.0,0.521
0.59,0,4,4,3,1,3,5,1,0,5,0,4,0.0,0.354
0.11,1,4,4,3,1,3,1,2,1,5,0,4,0.0,10.0
0.54,0,4,4,2,1,3,2,2,1,5,0,4,0.0,3.87
0.26,0,4,4,1,1,1,5,2,1,5,0,4,0.0,4.638
0.06,0,4,4,2,2,3,5,2,0,3,3,4,0.0,1.364
0.19,0,4,4,2,1,2,5,2,1,5,0,4,0.0,4.275
2146.0,0,4,4,2,1,2,4,2,1,5,0,4,0.0,-1017.54
0.1,0,4,4,2,1,1,4,1,1,4,3,4,0.0,4.785
0.9,0,4,1,1,1,3,6,0,0,5,0,4,0.0,10.0
0.39,0,4,4,2,1,3,6,0,0,4,2,4,0.0,0.706
