F1,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F17,F21,F24,F25,F29,F31,F33,F34,F43,F47,F48,F66b,SFST
2,0,0,3,0,3,2,3,1,3,2,1,2,5,5,3,1,3,3,76.5,5.497
3,0,1,0,4,0,2,3,4,2,2,5,2,1,0,0,1,1,3,94.25,5.815
1,1,0,2,0,2,2,3,1,3,4,5,1,5,0,0,4,3,3,112.0,0.863
3,2,1,1,5,0,2,2,2,2,5,4,2,1,0,0,1,1,3,108.3076923,6.583
1,0,0,1,0,2,2,2,1,3,5,1,3,5,0,0,5,3,3,104.6153846,0.0
1,2,0,2,2,0,3,1,1,3,6,0,0,0,0,0,5,3,3,100.9230769,0.0
3,2,0,4,1,3,2,1,1,4,4,5,1,5,2,0,2,3,3,97.23076923,3.49
1,0,0,2,1,3,3,1,1,3,6,0,0,0,0,0,5,3,3,93.53846154,0.0
4,0,0,1,1,1,2,4,1,3,3,4,2,2,0,0,1,2,3,89.84615385,6.176
3,4,0,2,0,1,0,3,2,3,5,5,1,4,0,0,1,3,1,86.15384615,5.333
1,0,0,1,0,3,4,1,1,3,6,0,0,0,0,0,5,3,3,82.46153846,0.0
1,0,0,0,1,2,3,3,1,3,6,0,0,0,0,0,5,3,3,78.76923077,0.0
3,3,2,2,2,2,2,2,1,3,4,4,1,3,0,0,1,2,1,75.07692308,5.278
1,0,0,0,0,2,3,3,1,3,6,0,0,0,0,0,5,3,3,71.38461538,0.0
3,3,2,2,2,2,1,2,1,1,6,0,0,0,0,0,2,2,1,67.69230769,2.708
1,1,0,2,0,2,2,4,1,3,5,1,1,5,0,0,5,3,3,64.0,0.0
3,2,0,2,2,1,3,2,1,3,4,2,3,2,0,0,1,1,1,63.25,5.111
1,1,0,2,0,3,2,2,1,3,6,0,0,0,0,0,5,3,3,62.5,0.0
2,2,0,4,0,2,3,1,1,3,4,5,2,4,0,0,1,3,3,61.75,6.398
4,1,1,1,2,0,2,4,2,4,2,2,2,2,0,0,2,2,3,61.0,3.166
2,2,2,0,4,0,2,1,2,4,2,5,1,3,0,0,1,3,3,68.25,6.046
2,2,1,2,2,2,3,2,1,4,2,4,2,3,0,0,2,3,3,75.5,3.785
3,1,1,2,2,2,2,2,1,3,4,5,2,5,0,0,4,3,3,82.75,0.759
1,1,0,1,0,2,3,3,1,3,5,1,0,1,0,5,5,3,3,90.0,0.0
3,5,2,1,1,0,0,0,3,4,3,5,1,5,0,0,4,2,2,134.0,0.861
1,1,0,3,0,4,0,5,1,3,6,0,0,0,0,0,4,3,3,142.4,0.729
3,6,1,1,0,0,0,0,1,4,5,5,0,1,0,0,1,3,1,150.8,5.556
4,0,0,0,0,0,3,4,2,4,2,3,2,5,0,0,2,1,3,159.2,3.281
3,1,1,0,4,0,2,2,2,4,4,5,2,1,0,0,1,3,3,167.6,5.944
4,0,0,0,2,0,2,5,2,3,1,3,2,1,0,0,1,2,2,176.0,7.102
4,1,0,1,0,1,2,4,1,3,1,2,2,1,0,0,1,2,3,33.0,5.778
2,2,0,4,0,0,3,2,1,3,6,0,0,0,0,0,4,3,3,45.5,0.764
1,2,0,3,0,3,1,2,1,3,5,2,1,5,0,0,4,3,3,58.0,0.729
1,1,0,1,0,3,0,3,1,3,5,1,1,5,0,0,5,3,3,51.0,0.0
3,0,0,5,0,2,1,1,4,3,5,5,1,4,0,0,2,3,3,88.75,3.779
1,0,0,2,0,2,4,2,1,3,6,0,0,0,0,0,5,3,3,126.5,0.0
1,3,0,2,0,2,3,0,1,4,6,0,0,0,0,0,5,3,3,164.25,0.0
3,0,0,0,5,0,1,0,4,3,2,5,1,3,0,0,1,3,3,202.0,5.574
2,3,0,1,0,0,4,0,2,3,5,5,1,1,0,0,1,3,3,239.75,6.75
1,1,0,2,1,2,4,1,1,3,5,5,1,5,1,0,5,3,3,277.5,0.0
2,0,0,3,0,1,4,1,1,3,3,5,1,5,1,0,2,3,3,315.25,3.938
3,1,1,0,5,0,1,0,2,1,2,5,2,5,0,0,1,1,3,353.0,6.593
3,1,1,1,4,1,1,1,3,3,2,5,2,4,0,0,1,2,3,230.0,6.556
3,2,2,0,3,0,2,0,3,2,3,5,2,1,0,0,1,3,3,230.0,4.611
3,4,2,2,2,1,1,1,2,2,4,1,1,5,0,0,5,3,3,230.0,0.0
3,3,2,2,3,1,1,1,2,3,2,5,1,5,0,0,5,3,3,780.0,0.0
2,0,0,0,2,0,4,3,1,2,6,0,0,0,0,0,2,3,3,471.5,3.264
2,1,0,0,0,0,2,5,1,4,3,1,1,5,0,0,4,3,3,163.0,0.771
1,1,0,2,0,3,0,2,1,3,6,0,0,0,0,0,5,3,3,186.5,0.0
1,0,0,1,0,2,4,2,1,3,4,4,1,5,1,0,5,3,3,210.0,0.0
1,1,0,2,2,3,3,3,1,3,6,0,0,0,0,0,4,3,3,208.3333333,0.694
1,1,0,1,0,2,2,3,1,3,5,1,1,5,0,0,5,3,3,206.6666667,0.0
3,3,0,4,0,0,2,0,1,3,6,0,0,0,0,0,5,3,3,205.0,0.0
2,1,0,3,0,2,4,1,1,3,6,0,0,0,0,0,4,3,3,203.3333333,0.729
2,1,0,4,0,0,3,0,1,3,4,5,2,5,0,0,2,3,3,201.6666667,3.912
2,0,0,3,2,0,3,1,1,3,2,4,2,4,0,0,2,3,3,200.0,3.733
1,2,0,2,0,3,4,0,1,3,6,0,0,0,0,0,4,3,3,198.3333333,0.708
2,5,1,0,0,0,0,2,1,3,6,0,0,0,0,0,2,3,3,196.6666667,4.167
3,2,2,1,3,0,3,1,4,2,5,5,1,4,0,0,2,3,3,195.0,2.587
3,0,3,0,3,0,1,2,3,1,5,5,2,2,0,0,1,3,3,193.3333333,4.639
3,4,0,2,0,0,3,1,2,3,4,5,2,1,0,0,2,3,3,191.6666667,4.219
3,5,2,2,2,1,1,0,2,3,5,5,1,4,0,0,2,3,2,190.0,4.965
3,4,1,2,2,1,2,0,1,3,5,5,1,5,0,0,5,3,3,153.3333333,0.0
1,1,0,2,0,2,2,2,1,3,6,0,0,0,0,0,5,3,3,116.6666667,0.0
1,0,0,3,0,1,4,0,3,3,5,5,1,5,0,0,4,3,3,80.0,0.75
1,1,0,2,0,3,4,1,1,3,6,0,0,0,0,0,5,3,3,85.0,0.0
3,1,1,0,5,0,1,0,3,2,1,4,2,1,0,0,1,2,3,90.0,4.843
1,2,0,2,0,2,3,2,2,3,4,4,2,5,0,0,4,3,3,96.0,0.733
3,2,1,1,4,1,2,0,2,4,1,5,2,1,0,0,1,2,3,20.0,5.657
3,2,0,0,3,0,3,2,3,3,2,2,2,1,0,0,1,1,3,85.0,5.722
3,5,2,1,1,1,1,0,4,3,3,5,2,4,0,0,2,3,3,186.0,4.219
3,1,1,0,5,0,1,2,2,3,2,2,3,1,0,0,1,1,2,105.0,7.398
3,0,0,0,4,0,2,2,2,4,1,3,3,1,0,0,1,2,2,194.0,6.759
4,1,0,1,1,1,2,4,3,4,1,2,2,4,0,0,2,1,3,63.0,3.177
3,5,0,2,0,0,1,0,1,4,5,5,1,1,0,0,1,3,3,61.85714286,6.556
2,0,0,0,1,0,2,0,1,3,4,3,2,1,0,0,1,3,3,60.71428571,6.148
1,1,0,2,0,2,3,2,1,3,6,0,0,0,0,0,5,3,3,59.57142857,0.0
3,5,0,5,0,1,1,1,1,4,5,5,1,5,0,0,5,3,3,58.42857143,0.0
1,1,0,3,0,0,4,2,1,3,6,0,0,0,0,0,4,3,3,57.28571429,0.729
1,0,0,0,0,1,5,2,1,3,5,1,1,5,0,0,5,3,3,56.14285714,0.0
1,2,0,2,0,3,3,2,1,3,5,1,1,5,0,0,1,3,3,55.0,5.667
3,1,0,1,5,1,1,1,3,4,4,1,1,5,0,0,3,3,3,101.0,2.782
2,1,0,1,0,2,2,3,1,3,5,1,1,5,0,0,4,3,3,88.75,0.694
2,2,1,0,1,0,3,4,2,4,2,5,2,5,0,0,4,2,3,76.5,0.719
2,1,0,3,0,3,2,2,1,3,5,5,1,5,0,0,4,3,2,64.25,0.854
1,1,0,1,0,2,1,4,1,3,6,0,0,0,0,0,4,3,3,52.0,0.667
3,0,0,0,5,0,2,1,4,3,3,5,1,4,1,0,1,3,3,51.8,5.865
3,3,0,3,0,2,0,2,4,3,4,5,2,3,0,0,1,2,1,51.6,4.833
3,0,0,0,2,0,4,3,2,2,5,4,2,1,0,0,1,0,3,51.4,4.713
3,2,0,2,0,2,0,3,1,3,4,5,1,5,0,0,5,3,1,51.2,0.0
2,1,0,3,0,2,4,1,1,3,6,0,0,0,0,0,4,3,3,51.0,0.729
1,0,0,2,0,2,3,2,1,3,6,0,0,0,0,0,4,3,1,50.8,0.486
3,3,0,0,4,0,0,0,4,4,4,4,2,1,0,0,1,2,3,50.6,5.556
3,0,1,0,3,0,2,3,1,2,1,5,2,5,0,0,2,3,3,50.4,2.5
