OF22,OF25,OF26,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F20,F21,F22,F28,F31,F41,F42,F44,F48,F49,WS,WS_Function
3,0,3,1,0,2,0,2,2,4,0,2,1,0,4,0,0,0,2,0,6.74407114624506,2
1,2,5,0,0,0,5,0,2,1,2,2,1,0,3,0,0,1,2,0,1.4,0
1,2,3,2,1,1,4,1,2,0,1,1,0,1,2,0,0,0,0,0,-0.5714285714285713,0
0,3,5,0,0,0,1,2,3,3,0,2,0,0,0,0,0,0,2,0,6.640316205533598,2
0,2,3,3,0,3,0,2,0,2,2,2,1,0,2,0,0,1,0,1,0.3083003952569168,0
1,1,3,0,2,0,4,0,2,2,2,0,1,1,0,1,0,0,0,0,0.726990400903445,0
1,1,3,0,0,0,2,0,4,3,0,1,0,1,0,0,0,0,2,1,-0.3342744212309428,0
1,2,3,0,0,0,3,0,2,4,1,3,1,1,0,1,0,0,2,0,1.171654432523998,0
1,1,3,0,0,0,2,1,2,4,0,1,1,1,3,1,0,0,0,1,0.5580180688876342,0
1,3,3,2,0,2,2,1,3,2,1,2,1,1,1,0,0,1,0,0,0.6024844720496896,0
0,2,3,0,0,0,0,0,2,5,0,2,0,1,3,1,0,0,0,0,-0.2680688876341052,0
0,2,2,0,0,0,0,1,2,5,0,1,0,1,3,1,0,0,2,0,0.01355166572557872,0
1,2,2,0,0,0,1,0,1,6,1,3,3,0,0,0,0,1,2,0,1.813241106719368,0
1,3,2,4,0,2,0,1,0,3,2,2,1,0,3,0,0,0,0,0,0.7786561264822143,0
2,1,5,0,0,5,0,2,1,1,1,2,0,0,3,0,0,1,2,0,3.2,1
2,2,0,5,0,2,0,0,1,0,2,3,0,0,0,0,0,1,2,1,-0.25,0
1,1,5,3,2,2,2,2,2,2,1,2,1,0,2,0,0,1,0,0,0.4703557312252964,0
0,3,2,3,2,2,2,2,1,2,2,0,0,0,0,0,0,1,0,0,6.640316205533598,2
1,2,3,2,0,2,0,2,0,3,1,2,1,0,4,0,0,0,0,0,5.75592885375494,1
1,2,3,0,0,0,4,0,2,2,1,1,2,1,1,1,0,1,1,1,0.8949745906267642,0
1,2,5,2,0,4,1,3,2,1,2,3,1,0,4,0,0,1,2,0,4.229249011857707,1
2,3,5,1,0,3,0,2,4,1,2,2,0,0,0,0,0,0,2,1,7.87,2
0,2,5,0,0,2,0,2,3,2,0,2,0,0,0,0,0,0,0,0,4.268774703557312,1
0,2,5,1,0,2,0,2,0,5,2,2,2,0,0,0,0,1,2,0,1.36,0
1,3,5,0,0,1,0,2,2,2,0,2,0,0,4,0,0,0,2,0,5.50395256916996,1
2,2,3,2,0,0,3,2,4,1,2,2,0,1,4,0,0,1,2,0,4.36,1
1,3,5,0,0,3,0,3,2,3,2,2,0,0,4,0,0,1,2,0,0.1383399209486164,0
1,1,2,0,0,0,1,0,2,0,1,2,1,0,0,0,0,0,2,0,0.864624505928854,0
1,3,5,0,0,1,0,3,4,1,0,2,1,0,0,0,0,0,2,0,7.430830039525692,2
0,3,5,0,0,0,0,2,3,3,0,2,0,0,0,0,0,0,2,0,6.640316205533598,2
1,3,5,1,0,2,0,2,3,2,2,2,0,0,0,0,0,0,2,0,9.21,2
2,1,5,0,0,2,0,2,4,2,2,2,0,0,0,0,0,0,2,0,10.0,2
1,3,5,2,0,3,0,2,3,1,0,2,0,0,0,0,0,0,2,0,7.430830039525692,2
0,3,5,1,0,3,0,4,0,5,2,2,0,0,0,0,0,0,2,0,8.42,2
0,3,5,0,0,2,1,3,3,1,2,2,0,0,0,0,0,0,2,0,8.41897233201581,2
2,3,5,3,0,2,0,2,3,0,1,3,0,0,0,0,0,0,2,0,9.41,2
1,3,3,0,0,0,0,2,0,5,0,1,0,1,4,0,0,1,0,1,-0.6900056465273857,0
1,3,3,3,0,0,4,0,0,0,2,3,2,2,0,1,0,1,2,1,2.09,0
1,3,3,1,1,0,2,0,2,4,2,2,2,1,2,0,0,0,2,0,2.1,0
1,2,3,0,0,0,2,0,1,5,2,1,2,1,2,1,0,0,2,1,1.66,0
1,1,3,0,0,0,1,0,0,5,2,2,1,1,3,1,0,0,2,1,1.49,0
2,3,1,0,1,0,3,0,2,3,0,1,4,1,4,1,0,0,2,0,5.756634669678149,1
2,2,4,0,0,0,5,0,1,0,2,2,2,0,2,0,0,0,2,1,1.92,0
1,2,3,0,0,0,0,0,4,4,2,2,2,2,3,1,0,0,2,1,2.36,0
1,1,3,0,0,1,3,0,1,5,2,2,1,1,3,1,1,1,2,0,1.52,0
1,1,3,1,0,0,3,0,4,3,2,2,2,0,2,1,0,1,2,0,1.42,0
1,2,1,5,0,2,0,0,0,0,2,3,1,0,4,0,0,0,2,1,6.02,1
1,2,5,1,1,0,2,0,1,4,2,1,2,1,3,0,0,1,2,1,4.46,1
1,2,2,0,4,0,2,0,1,1,1,0,2,3,2,1,0,0,2,1,8.13,2
0,1,3,0,0,2,1,0,1,5,2,3,1,0,4,0,0,1,2,0,1.11,0
1,3,4,3,0,3,0,0,2,2,2,2,2,2,3,1,0,0,2,1,2.55,0
2,2,3,2,0,2,0,2,3,2,1,2,0,0,4,0,0,0,2,0,5.479249011857707,1
1,2,4,3,0,1,0,0,4,0,2,2,0,0,0,1,0,1,2,1,-0.21,0
0,2,5,1,0,2,1,2,4,1,2,2,0,0,4,0,0,0,2,0,5.31,1
0,2,5,0,0,3,0,1,4,1,2,2,0,0,4,0,0,1,2,0,2.88,1
2,3,5,1,0,3,0,0,4,2,2,2,0,0,0,0,0,0,2,0,10.0,2
0,2,3,1,1,0,2,0,0,5,1,2,2,1,2,1,0,1,2,0,1.74,0
1,0,3,0,0,0,0,0,0,6,0,4,2,1,4,0,0,0,2,0,5.158808582721626,1
2,1,3,1,0,0,2,0,2,5,2,3,2,1,3,1,1,0,2,0,2.19,0
2,1,3,1,2,0,5,0,2,2,2,0,3,1,4,1,0,1,2,0,3.0,1
1,2,3,0,0,0,4,0,2,3,0,2,1,1,0,1,1,1,2,0,1.19,0
0,3,3,1,1,0,5,0,1,0,1,0,3,1,4,1,0,1,2,0,2.693393562958781,0
1,3,3,1,1,1,4,1,1,1,2,2,3,1,3,1,0,1,2,0,2.760587238848108,1
1,2,2,0,0,0,4,0,2,3,2,1,1,0,0,1,1,1,2,0,0.49,0
2,0,3,2,2,0,3,0,2,0,2,1,3,2,0,0,0,1,2,1,2.53,0
2,2,3,4,2,2,2,1,1,1,2,1,2,0,4,0,0,0,2,0,6.783596837944664,2
2,3,3,3,2,2,3,1,1,1,2,2,3,0,4,0,0,0,2,0,7.613636363636362,2
1,1,3,1,1,0,3,0,4,2,2,2,1,0,1,0,0,0,2,0,3.73,1
1,1,3,1,0,1,0,1,1,5,1,0,2,1,4,0,0,0,2,0,7.411773009599097,2
0,2,3,1,1,1,2,0,2,3,1,1,2,1,4,1,0,0,2,0,4.368294748729531,1
