OF20,OF21,OF22,OF23,OF24,F24,F28,F40,F50,F52,S4,SR_Benefit,SR Benefit Rating
3,3,2,0,2,5,0,0,4,0,0.0,0.0,0
3,3,1,0,2,2,1,2,3,3,0.0,0.0,0
3,3,1,0,1,3,2,0,4,0,0.0,4.51,1
3,3,1,2,2,1,1,1,2,0,0.3333333333333333,0.0,0
3,3,1,1,1,1,1,2,4,0,0.0,4.95,1
3,3,1,2,0,1,1,2,3,2,0.6666666666666666,5.87,1
3,3,2,0,1,0,1,0,2,1,0.0,4.344101254184316,1
3,3,2,0,1,1,0,0,4,0,0.0,0.0,0
3,3,1,1,1,1,2,2,4,0,0.6666666666666666,5.16,1
3,3,1,0,2,1,1,0,4,0,0.0,4.1,1
3,3,1,0,1,1,0,0,3,0,0.0,4.61,1
3,3,1,0,2,4,0,0,4,0,0.0,0.0,0
3,3,1,0,2,0,1,0,3,1,0.0,0.0,0
3,3,1,1,2,3,3,1,3,2,0.0,4.97,1
3,3,0,2,2,1,0,0,1,0,0.0,0.0,0
3,3,1,1,2,3,2,0,4,0,0.3333333333333333,4.56,1
3,3,2,0,2,4,0,0,4,0,0.4166666666666667,0.0,0
3,3,1,0,2,4,0,0,4,0,0.0,3.86,1
3,3,0,0,2,4,0,1,4,0,0.4166666666666667,0.0,0
3,3,0,0,2,2,0,1,4,0,0.0,0.0,0
3,3,2,0,2,5,0,0,4,0,0.0,0.0,0
3,3,0,0,1,1,1,1,4,0,0.4166666666666667,4.91,1
3,3,1,0,1,1,1,0,4,0,0.0,0.0,0
3,3,2,0,1,3,1,2,0,1,0.0,4.78,1
3,3,2,0,1,1,1,0,2,1,0.0,4.65,1
3,3,1,0,1,3,1,0,4,0,0.0,4.38,1
3,3,0,0,1,1,1,0,4,0,0.0,4.710312712806052,1
3,3,1,1,2,1,1,0,4,0,0.0,4.662535614486191,1
3,3,1,0,1,4,0,0,4,0,0.0,4.62,1
3,3,2,0,2,2,2,0,4,0,0.0,0.0,0
3,3,2,0,2,3,0,0,4,0,0.0,0.0,0
3,3,2,0,1,1,0,0,3,1,0.0,0.0,0
3,3,1,0,1,1,0,0,3,2,0.0,0.0,0
3,3,1,0,2,1,1,0,4,0,0.0,0.0,0
3,3,0,0,2,1,1,0,4,0,0.0,4.495602432956596,1
3,3,1,0,1,0,1,0,3,1,0.0,4.671852148658565,1
3,3,0,0,2,1,1,0,2,1,0.0,0.0,0
3,3,3,0,2,5,0,0,4,0,0.0,0.0,0
3,3,1,1,2,5,0,0,4,0,0.0,0.0,0
3,3,1,0,1,5,0,0,4,0,0.0,0.0,0
3,3,2,0,2,1,1,1,4,0,0.0,0.0,0
3,3,2,0,2,1,1,0,4,0,0.0,0.0,0
3,3,0,0,2,2,1,0,3,1,0.0,0.0,0
3,3,0,0,2,4,0,0,4,0,0.5,0.0,0
3,3,3,0,2,5,0,0,4,0,0.0,10.0,2
3,0,0,0,2,5,0,0,4,0,0.0,10.0,2
3,3,2,0,2,3,0,0,4,0,0.0,0.0,0
3,3,2,0,2,5,0,0,4,0,0.0,0.0,0
3,3,3,0,2,4,0,0,4,0,0.0,0.0,0
0,1,2,1,2,4,0,0,3,0,0.0,10.0,2
3,3,1,0,2,1,1,1,4,0,0.0,4.24,1
3,3,1,0,1,2,0,0,3,0,0.0,0.0,0
3,3,0,0,2,1,1,2,3,1,0.5,4.75,1
3,3,0,2,1,0,0,1,4,0,0.0,5.42,1
3,3,1,0,2,3,1,0,4,0,0.5,4.651069110889424,1
3,3,0,1,2,2,2,0,4,0,0.0,4.86,1
3,3,0,0,2,4,0,0,4,0,0.3333333333333333,4.71,1
3,3,0,2,0,3,1,0,4,0,0.3333333333333333,0.0,0
3,3,1,0,0,3,0,0,3,2,0.0,5.17,1
3,3,1,0,2,5,0,0,3,2,0.6666666666666666,0.0,0
3,3,0,1,2,5,0,0,4,0,0.6666666666666666,0.0,0
3,3,1,1,2,4,0,0,3,1,0.0,0.0,0
3,3,0,1,2,5,0,0,4,0,0.5,0.0,0
3,3,1,0,2,3,0,0,4,0,0.3333333333333333,4.4,1
3,3,0,1,2,5,0,0,3,1,0.5833333333333334,0.0,0
3,3,0,2,2,5,0,0,4,0,0.0,0.0,0
3,3,2,0,2,3,0,0,4,0,0.0,0.0,0
3,3,2,0,2,1,1,0,4,0,0.0,0.0,0
3,3,1,0,2,5,0,0,4,0,0.0,0.0,0
3,3,1,2,2,5,0,0,4,0,0.0,0.0,0
3,3,1,2,2,5,0,0,3,1,0.0,0.0,0
3,3,1,1,2,1,0,0,3,1,0.6666666666666666,0.0,0
3,3,0,2,1,3,1,0,3,3,0.3333333333333333,0.0,0
3,3,0,2,0,3,2,0,3,1,0.0,5.6,1
3,3,0,0,2,1,1,0,4,0,0.0,4.57,1
3,3,0,1,1,2,2,0,3,2,0.0,5.25,1
3,3,1,1,2,5,0,0,3,1,0.0,0.0,0
3,3,1,0,2,4,0,0,4,0,0.3333333333333333,0.0,0
3,3,2,1,1,4,2,0,4,0,0.0,4.55,1
3,3,0,0,0,4,1,0,4,0,0.4166666666666667,5.24,1
3,3,0,0,2,4,0,0,4,0,0.0,0.0,0
3,3,1,1,2,3,0,0,4,0,0.3333333333333333,0.0,0
3,3,0,1,2,0,2,0,4,0,0.0,0.0,0
3,3,0,1,2,4,2,0,4,0,0.4166666666666667,0.0,0
3,3,1,0,2,5,0,0,4,0,0.0,0.0,0
3,3,1,0,2,3,0,0,4,0,0.0,0.0,0
3,3,0,0,2,3,0,2,4,0,0.0,4.27,1
3,3,1,1,1,1,1,2,4,0,0.3333333333333333,5.12,1
3,3,1,0,2,4,0,0,4,0,0.0,0.0,0
3,3,1,0,2,4,0,0,4,0,0.0,0.0,0
3,3,2,0,1,4,0,0,4,0,0.0,0.0,0
3,3,2,0,1,4,0,0,4,0,0.0,0.0,0
3,3,1,0,2,0,2,2,4,0,0.0,4.341473513776723,1
3,3,2,0,2,4,0,1,4,0,0.0,0.0,0
3,3,0,0,2,0,1,0,4,0,0.0,0.0,0
3,3,2,0,2,2,0,0,4,0,0.0,0.0,0
3,3,1,0,2,4,0,0,4,0,0.0,0.0,0
3,3,1,0,2,1,1,1,4,0,0.0,0.0,0
3,3,0,0,2,0,1,1,4,0,0.0,4.217253058145084,1
3,3,1,0,2,0,1,1,4,0,0.0,4.077743931051089,1
3,3,2,0,2,4,0,0,4,0,0.0,0.0,0
3,3,2,0,2,5,0,0,4,0,0.0,0.0,0
3,3,2,0,1,4,0,0,4,0,0.0,0.0,0
3,3,1,0,2,1,1,1,4,0,0.0,4.18,1
3,3,2,0,1,5,0,0,4,0,0.0,0.0,0
3,3,2,0,2,4,0,0,3,0,0.0,0.0,0
3,3,1,0,2,1,1,0,4,0,0.0,0.0,0
3,3,0,0,2,3,1,0,4,0,0.0,0.0,0
3,3,0,0,2,0,1,0,4,0,0.0,4.42,1
3,3,2,0,2,5,0,0,3,1,0.0,0.0,1
