OF16,OF18,OF22,OF25,OF26,OF27,F1,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F6,F17,F18,F20,F21,F22,F23,F24,F28,F31,F33,F34,F36,F41,F42,F48,F49,F54,S5,NR,NR_Function,F44
1,0.44,0,3,5,1943,1,0,0,2,0,1,4,3,3,0,0,2,2,0,0,5,0,0,0,0,0,0,0,2,1,5,0.6666666666666666,10.0,2,0
1,0.2115,0,2,0,1888,1,1,0,3,0,2,4,1,0,0,0,2,2,0,0,5,0,0,0,0,0,0,0,2,1,5,0.0,10.0,2,0
0,0.127,2,3,5,2232,1,1,0,4,0,0,3,0,0,0,0,2,2,0,2,3,0,4,0,0,0,0,0,2,1,5,0.0,0.67,0,4
0,0.106,2,3,5,2232,1,0,0,3,2,0,3,1,0,0,0,2,2,0,3,1,1,3,0,0,0,0,0,2,1,5,0.0,1.91,0,4
1,0.49,1,3,5,2217,0,2,0,2,0,3,4,0,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0.0,10.0,2,0
0,0.865,1,3,5,2099,0,4,0,2,0,2,3,1,1,0,0,2,2,0,0,5,0,0,0,0,0,0,0,2,0,5,0.0,10.0,2,0
0,0.29,1,0,5,1987,0,1,0,4,0,3,3,1,0,0,0,2,2,0,1,5,0,0,0,0,0,0,0,2,0,5,0.0,10.0,2,0
1,0.5,1,2,1,2221,1,2,2,0,4,0,2,1,2,1,0,2,3,2,3,1,0,2,0,0,0,0,0,2,1,5,0.4166666666666667,1.29,0,4
4,0.412,0,1,3,2062,2,0,0,0,5,0,0,3,2,3,1,2,1,2,2,3,1,0,0,0,0,0,0,2,1,5,0.4166666666666667,2.0,0,3
1,0.08,0,2,3,2062,2,0,1,0,4,0,2,1,2,2,0,1,0,2,1,3,2,0,0,0,0,1,0,2,1,0,0.3333333333333333,0.87,0,3
3,0.005,0,3,3,2109,2,0,1,0,4,0,2,3,2,3,0,2,1,2,3,1,1,0,0,0,0,1,0,2,1,5,0.0,2.33,1,4
4,0.279,0,2,3,1947,2,0,2,0,5,0,0,0,2,3,1,2,1,2,2,2,2,0,0,0,0,1,0,2,1,5,0.0,2.93,1,4
0,0.36,1,2,5,2228,1,5,1,0,0,0,0,2,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0.0,1.71,0,4
0,0.25,1,3,5,2038,2,0,0,0,1,0,5,2,2,0,0,1,1,1,0,4,0,4,0,0,0,0,0,2,0,0,0.0,1.04,0,1
0,0.37,2,1,3,2122,2,2,1,1,5,0,2,2,2,1,0,1,1,1,1,4,2,0,0,0,0,1,0,2,0,0,0.0,1.18,0,3
3,0.26,0,2,2,1767,2,4,0,2,2,1,2,2,2,3,0,0,0,0,1,4,1,0,0,4,0,1,0,2,1,0,0.0,-0.15,0,3
1,0.3,0,2,3,2026,2,2,2,1,3,0,3,1,3,3,0,0,1,1,1,4,0,3,0,0,0,0,0,2,0,0,0.0,0.7,0,3
4,0.6162,1,3,5,2029,0,1,0,3,1,1,3,2,0,0,0,2,2,0,1,3,0,1,0,0,0,0,0,2,1,0,0.0,10.0,2,0
0,0.005,0,2,5,2169,3,0,0,0,0,0,0,6,2,0,0,2,2,3,3,0,2,1,2,3,1,0,0,2,1,0,0.6666666666666666,2.59,1,2
2,0.01,0,2,3,1987,2,0,3,0,3,0,1,2,2,2,0,2,0,3,1,4,2,1,0,0,0,0,0,2,1,0,0.0,1.59,0,3
0,0.0129,1,3,5,2080,2,0,4,0,2,0,2,1,2,3,0,2,4,3,0,5,0,0,0,0,0,0,0,2,0,0,0.0,10.0,2,0
0,0.16,1,2,5,1968,2,4,0,2,0,0,3,1,0,1,0,2,2,1,2,3,0,0,0,0,0,0,0,2,1,0,0.0,1.65,0,4
3,0.52,0,1,4,1846,1,1,0,2,0,0,4,3,3,1,0,2,2,1,2,3,0,2,4,3,2,1,0,2,1,5,0.0,0.1,0,1
2,0.038,1,3,4,1670,3,0,0,0,0,0,4,4,3,0,0,2,2,2,3,1,1,3,3,2,0,1,0,2,1,5,0.0,2.32,1,1
2,0.72,1,3,3,1329,2,1,0,1,0,1,0,0,3,2,1,1,2,1,1,4,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
0,0.72,1,3,3,1329,0,2,0,2,0,2,3,1,0,0,0,1,2,1,0,4,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
3,0.41,2,3,3,1342,2,5,0,1,0,1,1,0,2,0,1,1,3,0,0,4,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
3,0.41,2,3,3,1342,0,3,0,3,0,3,2,1,0,0,0,0,2,0,0,4,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
4,0.07,1,1,3,1426,3,1,0,0,1,0,3,3,3,3,0,1,2,3,2,0,2,3,3,4,1,1,0,2,0,0,0.0,3.792245634930882,1,2
4,0.76,2,3,3,1363,0,0,0,1,0,3,3,2,3,0,0,0,2,1,1,4,0,4,4,4,2,0,0,2,0,0,0.0,10.0,2,0
4,0.24,0,3,1,1907,2,1,1,0,4,0,2,1,2,1,0,1,1,3,2,0,1,0,0,0,0,0,0,2,1,0,0.0,2.881588501602455,1,3
2,0.24,2,3,3,1907,1,2,0,3,0,2,2,3,0,0,0,0,2,2,1,2,0,4,0,0,0,0,0,2,0,1,0.0,10.0,2,0
4,0.56,1,2,3,1479,2,5,2,2,2,1,1,0,3,1,1,2,2,1,1,4,0,3,0,0,0,0,0,1,0,0,0.0,2.860476598691509,1,4
4,0.08,1,2,3,1523,1,1,0,0,0,0,3,4,3,0,1,0,2,2,3,1,1,4,3,2,1,0,0,1,0,0,0.0,3.157519072120372,1,4
4,0.62,0,3,3,1523,2,1,0,1,1,0,4,2,0,1,1,1,3,3,2,0,1,1,2,2,1,1,0,2,0,0,0.0,4.308938503776877,2,3
3,0.53,1,3,4,1909,3,0,0,1,1,1,1,5,3,0,0,1,4,1,3,0,1,2,2,3,1,1,0,2,0,0,0.0,2.42215783927728,1,2
3,0.6,2,3,3,2195,2,4,1,2,2,1,2,0,3,0,0,0,2,1,0,4,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
3,0.6,2,3,3,2195,0,1,0,2,0,2,2,2,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0.0,10.0,2,0
4,0.39,2,3,3,2009,0,0,0,3,0,1,4,0,0,2,0,0,2,1,1,4,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
3,0.35,1,1,3,2166,2,0,1,1,2,1,4,2,2,1,1,1,1,3,1,1,1,2,3,3,1,1,0,2,0,0,0.0,3.86,1,4
1,0.31,2,3,3,2241,0,1,0,2,0,3,4,1,2,0,0,0,2,1,0,5,0,0,0,0,0,0,0,2,0,0,0.5833333333333334,10.0,2,0
2,0.15,2,3,3,2241,0,2,0,2,1,2,4,1,0,0,0,0,3,1,1,4,0,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
3,0.12,1,3,3,2341,2,0,3,0,3,0,3,0,3,0,0,1,4,3,0,1,1,4,0,0,0,0,0,2,0,0,0.0,10.0,0,0
4,0.18,0,3,3,2341,2,4,2,1,1,1,2,0,3,0,0,1,3,1,1,3,1,4,0,0,0,0,0,2,0,0,0.0,10.0,2,0
4,0.26,0,3,1,2292,2,1,1,0,5,0,1,0,3,2,0,1,1,3,1,0,1,0,0,0,0,1,0,2,0,0,0.0,3.33,1,3
4,0.16,2,3,3,2075,2,5,0,2,0,0,0,0,3,3,0,1,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0.0,10.0,2,0
