OF19,OF20,OF21,OF22,OF23,OF24,F40,F48,F50,F52,F66,S2,PR_Benefit,PR Benefit Rating
0.0,3,3,2,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.0,3,3,0,0,2,0,0,3,1,137.2142857142857,0.4444444444444444,2.087205026302337,1
0.0,3,3,0,0,2,0,2,4,0,137.2142857142857,0.4444444444444444,0.0,0
0.0,3,3,1,0,2,0,2,4,0,137.2142857142857,0.4444444444444444,5.3272538381623,2
0.0,3,3,2,0,1,0,2,3,1,137.2142857142857,0.5555555555555556,5.3272538381623,2
0.0,3,3,1,2,2,0,2,2,0,137.2142857142857,0.0,0.0,0
0.0,3,3,1,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.0,3,3,1,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.0,3,3,0,0,2,0,2,4,0,137.2142857142857,0.3333333333333333,2.990880757243449,1
1.0,3,3,1,1,2,0,2,4,0,137.2142857142857,0.0,10.0,2
0.0,3,3,2,2,2,0,2,4,0,137.2142857142857,0.3333333333333333,2.990880757243449,1
0.0,3,3,1,0,2,0,2,2,2,137.2142857142857,0.5555555555555556,0.0,0
0.09183673469387756,0,0,0,1,2,0,2,3,1,137.2142857142857,0.0,10.0,2
0.09183673469387756,3,3,0,1,2,0,2,4,0,137.2142857142857,0.0,10.0,2
0.09183673469387756,3,3,2,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,1,0,2,2,0,3,3,137.2142857142857,0.4444444444444444,2.262433007371251,1
0.09183673469387756,3,3,1,0,1,0,2,4,0,137.2142857142857,0.0,6.4,2
0.09183673469387756,3,3,1,2,2,1,2,2,0,137.2142857142857,0.4444444444444444,0.0,0
0.09183673469387756,3,3,1,1,1,2,2,4,0,137.2142857142857,0.3333333333333333,10.0,2
0.09183673469387756,3,3,1,2,0,2,2,3,2,137.2142857142857,0.6666666666666666,10.0,2
0.09183673469387756,3,3,2,0,1,0,2,2,1,137.2142857142857,0.0,6.242611434508007,2
0.09183673469387756,3,3,2,0,1,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,1,1,1,2,2,4,0,137.2142857142857,0.0,6.81,2
0.09183673469387756,3,3,1,0,2,0,2,4,0,137.2142857142857,0.0,5.77,2
0.09183673469387756,3,3,1,0,1,0,2,3,0,137.2142857142857,0.0,6.52,2
0.09183673469387756,3,3,1,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,1,0,2,0,2,3,1,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,1,1,2,1,2,3,2,137.2142857142857,0.0,10.0,2
0.09183673469387756,3,3,0,2,2,0,2,1,0,137.2142857142857,0.0,2.02,1
0.09183673469387756,3,3,1,1,2,0,2,4,0,137.2142857142857,0.0,6.18,2
0.09183673469387756,3,3,2,0,2,0,2,4,0,137.2142857142857,0.3333333333333333,0.0,0
0.09183673469387756,3,3,1,0,2,0,2,4,0,137.2142857142857,0.0,5.41,2
0.09183673469387756,3,3,0,0,2,1,2,4,0,137.2142857142857,0.4444444444444444,0.0,0
0.09183673469387756,3,3,0,0,2,1,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,2,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,0,0,1,1,2,4,0,137.2142857142857,0.0,6.65,2
0.09183673469387756,3,3,1,0,1,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,2,0,1,2,2,0,1,137.2142857142857,0.0,6.9,2
0.09183673469387756,3,3,2,0,1,0,2,2,1,137.2142857142857,0.0,6.69,2
0.09183673469387756,3,3,1,0,1,0,2,4,0,137.2142857142857,0.0,6.19,2
0.09183673469387756,3,3,0,0,1,0,2,4,0,353.0,0.0,6.705713955904421,2
0.09183673469387756,3,3,1,1,2,0,2,4,0,230.0,0.0,6.632702297125707,2
0.09183673469387756,3,3,1,0,1,0,2,4,0,137.2142857142857,0.0,6.57,2
0.09183673469387756,3,3,2,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,2,0,2,0,2,4,0,230.0,0.0,0.0,0
0.09183673469387756,3,3,2,0,1,0,2,3,1,780.0,0.4444444444444444,0.0,0
0.09183673469387756,3,3,1,0,1,0,2,3,2,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,1,0,2,0,2,4,0,245.0,0.0,0.0,0
0.09183673469387756,3,3,0,0,2,0,2,4,0,137.2142857142857,0.0,6.377599561352882,2
0.09183673469387756,3,3,1,0,1,0,2,3,1,199.0,0.0,6.733249781500965,2
0.09183673469387756,3,3,0,0,2,0,2,2,1,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,3,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,1,1,2,0,2,4,0,137.2142857142857,0.3333333333333333,0.0,0
0.09183673469387756,3,3,1,0,1,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,2,0,2,1,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,2,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
0.09183673469387756,3,3,0,0,2,0,2,3,1,163.0,0.5555555555555556,0.0,0
0.09183673469387756,3,3,0,0,2,0,2,4,0,137.2142857142857,0.0,0.0,0
