OF22,OF26,OF27,F17,F20,F21,F23,F24,F28,F29,F33,F34,F36,F38,F41,F42,F44,F49,F63,F65,PR,PR_Function
0,5,1670,0,2,2,0,5,0,0,0,0,0,0,0,0,0,1,0.007692307692307693,5.578095744680851,10.0,2
1,3,1697,2,2,1,3,2,0,2,4,3,2,0,1,0,1,0,0.007692307692307693,5.578095744680851,5.13,1
2,3,1512,0,0,2,2,1,1,1,5,2,0,0,0,0,0,0,0.0,6.31,10.0,2
3,3,1551,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0.0,3.63,10.0,2
2,3,1551,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0.0,3.53,10.0,2
2,3,1692,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0.0,4.65,10.0,2
3,3,1358,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0.0,4.85,10.0,2
1,5,1945,3,2,2,3,2,0,0,0,0,0,0,0,0,1,0,0.007692307692307693,5.578095744680851,6.23,2
1,3,1950,1,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0.007692307692307693,5.578095744680851,5.200511394958771,1
0,5,2092,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0.0,5.578095744680851,10.0,2
0,3,2254,3,2,2,1,3,0,1,0,0,0,0,0,0,1,1,0.007692307692307693,5.578095744680851,5.665857348956685,2
1,3,2272,3,2,0,3,4,1,0,0,0,0,0,1,0,0,0,0.007692307692307693,5.578095744680851,3.374174554582029,1
1,3,2241,1,0,1,1,4,1,1,0,0,0,0,0,0,0,1,0.007692307692307693,5.578095744680851,4.471756822648831,1
1,3,2065,1,1,3,1,4,1,1,0,0,0,0,1,0,0,0,0.007692307692307693,5.578095744680851,5.681155631963191,2
1,3,1893,0,0,1,3,2,1,1,3,1,1,0,1,0,0,1,0.007692307692307693,5.578095744680851,4.22531539094402,1
1,3,1955,0,1,2,2,3,1,2,0,0,0,0,0,0,1,0,0.0,5.578095744680851,4.205566698335621,1
0,3,2314,0,0,2,3,1,1,2,0,0,0,0,1,0,0,0,0.007692307692307693,5.578095744680851,6.264159289811141,2
0,2,2254,0,0,1,3,1,1,2,3,3,2,0,1,0,0,0,0.0,5.578095744680851,3.822553321972724,1
1,2,2118,0,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0.0,5.578095744680851,3.357346443274871,1
1,2,1950,1,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0.007692307692307693,5.578095744680851,6.425208487279637,2
2,5,1945,3,1,2,1,4,0,0,0,0,0,0,0,0,1,0,0.007692307692307693,5.578095744680851,6.82,2
2,0,2017,0,2,3,1,4,0,0,0,0,0,0,0,0,1,1,0.007692307692307693,5.578095744680851,4.24,1
1,5,2236,0,1,2,1,3,0,0,0,0,0,0,0,0,1,0,0.007692307692307693,5.578095744680851,6.518667088919388,2
0,2,2272,0,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0.007692307692307693,5.578095744680851,4.112108096695872,1
1,3,1971,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0.0,5.578095744680851,5.116788064323164,2
1,3,2146,1,1,1,2,3,1,1,0,0,0,0,1,0,1,1,0.007692307692307693,5.578095744680851,3.658444467902927,1
1,5,2141,0,2,3,1,3,0,0,1,0,0,0,0,0,1,0,0.007692307692307693,5.578095744680851,6.277232368016703,2
2,5,2039,0,2,2,0,5,0,0,0,0,0,0,0,0,0,1,0.0,5.578095744680851,10.0,2
