OF8,OF17,OF18,OF23,OF24,WS_Benefit ,WS Benefit Score 
3,1,0.08,2,0,10.0,2
3,0,0.005,0,2,10.0,2
3,0,0.279,1,1,10.0,2
3,3,0.36,1,2,4.17,1
3,3,0.25,0,2,0.0,0
3,2,0.37,1,1,5.26,1
2,1,0.26,0,0,3.72,1
3,1,0.3,0,2,0.0,0
4,1,0.6162,1,2,3.99,1
4,1,0.005,1,2,0.0,0
3,0,0.01,1,2,10.0,2
3,3,0.0129,0,2,0.0,0
3,1,0.16,0,2,0.0,0
4,2,0.52,0,2,0.0,0
3,3,0.038,1,1,3.16,1
3,3,0.72,0,2,0.0,0
3,3,0.72,0,2,0.0,0
2,3,0.41,0,1,0.0,0
2,3,0.41,0,1,0.0,0
3,3,0.07,0,2,0.0,0
3,3,0.76,0,2,0.0,0
3,3,0.24,0,2,0.0,0
3,3,0.24,0,2,0.0,0
3,3,0.56,0,2,0.0,0
3,3,0.08,0,2,0.0,0
3,3,0.62,0,2,0.0,0
3,3,0.53,0,2,0.0,0
2,3,0.6,0,2,0.0,0
2,3,0.6,0,2,0.0,0
2,3,0.39,0,1,0.0,0
3,3,0.35,0,2,0.0,0
3,3,0.31,0,1,0.0,0
3,3,0.15,0,2,0.0,0
3,3,0.12,0,2,0.0,0
3,3,0.18,0,2,0.0,0
3,3,0.26,0,2,0.0,0
3,3,0.16,0,2,0.0,0
