Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,SR,SR_Function
3,5,2,2,1,3,2,1,0,3,1,4.0,80.3,76.3,2,0.3412735576158163,0
4,6,1,5,0,2,3,0,2,5,0,3.0,27.0,24.0,4,1.38,0
2,3,0,0,0,1,2,0,1,4,2,3.0,15.0,12.0,1,6.94,1
3,5,0,4,0,1,2,0,0,4,0,2.7,98.7,96.0,1,0.76,0
4,5,0,5,2,1,2,0,0,4,0,2.3,67.3,65.0,7,2.623794999927682,0
2,4,1,0,2,1,3,0,0,1,0,2.3,62.3,60.0,1,2.12,0
2,4,1,4,0,0,2,0,0,5,0,2.0,103.7,101.7,1,2.28,0
4,6,1,5,0,1,2,3,0,1,0,2.0,38.7,36.7,1,1.87,0
1,1,1,0,2,1,3,0,1,1,0,2.0,34.0,32.0,1,1.55,0
1,7,0,1,0,1,3,0,0,4,0,1.7,62.0,60.3,7,2.7,0
0,0,0,4,0,3,2,0,2,4,0,1.7,27.7,26.0,0,8.08,2
4,6,1,5,2,1,4,0,1,1,0,1.7,14.7,13.0,1,1.74,0
4,6,0,5,2,1,4,0,2,4,2,1.3,29.3,28.0,6,3.09,0
1,7,0,1,0,1,4,0,0,1,0,1.0,45.0,44.0,4,3.28,0
4,5,1,5,0,1,4,0,0,5,0,1.0,33.0,32.0,6,2.08,0
3,6,1,4,2,3,2,0,2,5,0,1.0,29.7,28.7,7,2.323729190471368,0
3,5,0,4,3,3,4,0,0,3,0,0.7,83.3,82.6,0,6.64,1
3,5,0,4,0,3,2,0,0,4,0,0.7,74.0,73.3,1,2.003138604839527,0
3,5,3,4,0,3,4,0,0,4,0,0.3,40.3,40.0,7,1.674192267268352,0
3,6,3,4,2,3,3,0,2,4,0,0.3,26.0,25.7,6,2.38,0
4,6,1,0,0,0,4,0,2,5,0,0.3,23.7,23.4,4,3.04,0
1,1,0,1,0,1,1,0,1,4,0,0.3,6.7,6.4,7,4.369850565010858,1
2,4,2,2,1,0,3,1,0,4,1,0.0,500.0,500.0,2,2.501767273174329,0
4,5,1,5,2,1,1,0,0,1,0,0.0,500.0,500.0,6,3.32,0
0,8,2,2,1,2,2,1,0,3,1,0.0,270.7,270.7,2,5.678271308523408,1
1,7,1,1,2,1,4,0,0,5,0,0.0,158.0,158.0,7,3.979041702739614,1
4,5,1,5,2,1,1,0,0,2,0,0.0,149.0,149.0,7,4.0,1
