Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,PR,PR_Function
3,5,0,4,0,1,2,0,0,4,0,2.7,98.7,96.0,1,6.82,2
4,5,0,5,2,1,2,0,0,4,0,2.3,67.3,65.0,7,3.72853841913274,1
2,4,1,0,2,1,3,0,0,1,0,2.3,62.3,60.0,1,5.18,1
2,4,1,4,0,0,2,0,0,5,0,2.0,103.7,101.7,1,4.95,1
4,6,1,5,0,1,2,3,0,1,0,2.0,38.7,36.7,1,6.23,2
1,1,1,0,2,1,3,0,1,1,0,2.0,34.0,32.0,1,5.13,1
1,7,0,1,0,1,3,0,0,4,0,1.7,62.0,60.3,7,3.33,1
4,6,1,5,2,1,4,0,1,1,0,1.7,14.7,13.0,1,3.61,1
4,6,0,5,2,1,4,0,2,4,2,1.3,29.3,28.0,6,3.55,1
1,7,0,1,0,1,4,0,0,1,0,1.0,45.0,44.0,4,5.45,1
4,5,1,5,0,1,4,0,0,5,0,1.0,33.0,32.0,6,5.3,1
3,6,1,4,2,3,2,0,2,5,0,1.0,29.7,28.7,7,3.490997806631714,1
3,5,0,4,0,3,2,0,0,4,0,0.7,74.0,73.3,1,5.274499454590239,1
3,5,3,4,0,3,4,0,0,4,0,0.3,40.3,40.0,7,3.615609275484711,1
3,6,3,4,2,3,3,0,2,4,0,0.3,26.0,25.7,6,4.14,1
4,6,1,0,0,0,4,0,2,5,0,0.3,23.7,23.4,4,3.43,1
1,1,0,1,0,1,1,0,1,4,0,0.3,6.7,6.4,7,3.514974388361911,1
2,4,2,2,1,0,3,1,0,4,1,0.0,500.0,500.0,2,6.920733781390384,2
