Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,NR,NR_Function
1,1,0,1,0,1,1,0,1,4,0,0.3,6.7,6.4,7,2.689160989557429,1
2,4,2,2,1,0,3,1,0,4,1,0.0,500.0,500.0,2,1.363855143460955,0
4,5,1,5,2,1,1,0,0,1,0,0.0,500.0,500.0,6,3.54,1
1,7,1,1,2,1,4,0,0,5,0,0.0,158.0,158.0,7,3.731104936086877,1
4,5,1,5,2,1,1,0,0,2,0,0.0,149.0,149.0,7,4.9,2
1,7,1,1,2,1,4,0,0,5,0,0.0,144.0,144.0,9,3.792245634930882,1
1,7,1,1,0,1,1,0,0,1,0,0.0,118.0,118.0,1,1.28,0
1,7,1,1,0,1,1,0,0,6,0,0.0,100.0,100.0,7,2.817138574651931,1
1,7,1,0,2,1,1,0,0,1,0,0.0,96.7,96.7,1,2.32,1
4,5,0,0,0,1,1,0,0,4,2,0.0,95.0,95.0,9,2.424686608168594,1
4,5,2,2,1,2,1,1,0,4,1,0.0,85.3,85.3,2,0.07719848855891819,0
1,7,1,1,3,1,1,0,0,5,0,0.0,68.0,68.0,10,2.785708504582421,1
1,7,1,1,0,2,4,0,0,1,0,0.0,64.0,64.0,1,3.44,1
4,5,1,5,3,1,1,0,0,1,0,0.0,63.3,63.3,1,2.18,0
1,7,1,1,2,1,1,3,2,5,0,0.0,61.7,61.7,1,2.0,0
4,5,2,2,1,3,4,1,0,4,1,0.0,59.7,59.7,2,0.9810330611553465,0
1,7,1,1,0,1,1,0,0,2,0,0.0,56.7,56.7,7,3.14,1
1,7,3,1,0,1,1,0,0,4,2,0.0,48.7,48.7,7,3.13317542991532,1
1,7,1,1,3,1,1,3,0,1,0,0.0,48.0,48.0,4,2.59,1
2,3,3,1,2,1,3,0,0,2,0,0.0,47.0,47.0,7,3.157519072120372,1
4,5,3,5,2,1,1,0,0,4,3,0.0,46.7,46.7,5,3.17,1
4,5,3,5,3,1,1,0,0,4,0,0.0,46.0,46.0,9,2.784675320416935,1
3,5,3,4,0,3,4,0,0,4,2,0.0,42.3,42.3,1,3.36,1
1,7,1,1,0,1,1,0,0,1,0,0.0,40.3,40.3,1,2.16,0
4,6,0,5,0,1,1,0,2,4,0,0.0,33.0,33.0,11,3.17,1
1,1,1,1,0,1,1,0,2,1,0,0.0,32.7,32.7,1,1.89,0
3,6,0,4,0,3,2,0,2,3,3,0.0,31.7,31.7,12,1.59,0
4,6,3,0,1,1,4,0,2,4,0,0.0,31.3,31.3,9,2.146083939779544,0
1,1,0,1,0,1,1,0,2,4,0,0.0,30.7,30.7,7,3.86,1
1,1,1,1,2,1,4,0,2,5,0,0.0,28.7,28.7,6,4.12,2
4,6,3,5,0,1,4,0,2,3,3,0.0,27.3,27.3,6,2.12,0
1,1,1,1,2,1,4,0,2,1,0,0.0,25.0,25.0,6,4.04,1
4,6,1,0,0,1,4,0,2,5,0,0.0,24.0,24.0,7,4.308938503776877,2
1,1,3,1,0,1,4,0,2,4,2,0.0,23.3,23.3,7,3.0,1
1,1,1,1,0,1,1,0,2,2,0,0.0,21.7,21.7,8,2.18,0
1,1,0,1,2,1,4,0,2,4,0,0.0,21.3,21.3,6,3.17,1
4,6,1,5,0,1,1,0,1,5,0,0.0,21.0,21.0,1,0.75,0
3,6,3,4,0,3,4,0,1,4,0,0.0,18.3,18.3,12,2.0,0
4,6,2,2,1,0,1,1,2,4,1,0.0,18.0,18.0,2,2.565028976702409,1
1,1,2,2,1,1,1,1,2,4,1,0.0,17.7,17.7,2,2.478023727786216,1
4,6,0,5,2,1,4,0,1,4,0,0.0,17.3,17.3,7,3.86,1
4,6,1,5,2,0,4,0,1,4,0,0.0,17.0,17.0,6,2.21,0
4,6,3,0,2,1,1,0,1,5,0,0.0,16.7,16.7,1,3.531245082067082,1
3,6,0,4,2,0,1,0,1,4,3,0.0,16.7,16.7,5,3.27,1
1,1,3,1,0,1,1,0,1,5,0,0.0,15.7,15.7,8,2.25,1
1,1,1,1,2,1,1,0,1,1,0,0.0,15.0,15.0,4,2.88,1
4,6,1,0,0,0,3,0,1,4,1,0.0,14.0,14.0,4,0.25,0
3,6,0,6,2,0,3,0,1,4,0,0.0,12.3,12.3,12,1.620797139584754,0
4,6,1,5,2,1,1,0,1,5,0,0.0,9.7,9.7,1,2.0,0
4,6,3,5,0,1,1,0,1,4,0,0.0,9.0,9.0,4,0.87,0
4,6,0,5,0,1,4,0,1,4,0,0.0,9.0,9.0,6,2.36,1
1,1,3,1,0,1,1,0,1,5,0,0.0,9.0,9.0,7,2.845198868984051,1
1,1,1,1,2,0,1,0,1,1,0,0.0,8.3,8.3,1,2.77,1
4,6,3,5,0,1,1,0,1,5,0,0.0,8.3,8.3,4,3.782522561593126,1
4,6,0,5,2,0,1,0,1,4,0,0.0,7.0,7.0,4,1.59,0
1,1,3,1,2,1,1,0,1,2,0,0.0,4.0,4.0,1,2.484253220548712,1
4,6,1,1,2,1,1,0,1,6,0,0.0,4.0,4.0,7,3.23,1
4,6,0,5,0,2,4,0,1,5,0,0.0,2.3,2.3,9,2.881588501602455,1
1,1,2,2,1,1,1,1,1,4,1,0.0,1.3,1.3,2,1.55857338686897,0
1,1,2,2,1,1,1,1,1,2,1,0.0,1.0,1.0,2,2.189940075290342,0
4,6,2,2,1,2,4,1,1,4,1,0.0,0.0,0.0,2,2.006011515932103,0
4,6,2,2,1,2,1,1,1,2,1,0.0,0.0,0.0,2,3.428555185885706,1
3,6,2,2,1,3,1,1,1,5,1,0.0,0.0,0.0,2,1.570516742590589,0
5,9,2,2,1,1,1,1,1,2,1,0.0,0.0,0.0,2,1.144884927619434,0
1,1,1,1,2,1,1,0,1,1,0,0.0,0.0,0.0,4,1.97,0
4,6,1,5,2,2,1,0,1,5,0,0.0,0.0,0.0,4,2.93,1
4,6,3,5,3,1,1,0,1,4,2,0.0,0.0,0.0,9,3.33,1
