Wetland Type - Provincial Class,Wetland Type - Federal Class,Water Regime Indicator,Specific Vegetation Type,% Vegetation Cover for Specific Vegetation Cover Types,% High Woody Canopy Cover (>5m),% Moss Cover,Phragmites present (Y/N),Soil Type,% of Surface Water Present,Depth of Saturation (cm),Average Depth of Living Moss (cm),Average Total Depth of Organics,Average Organic Depth (cm),Hydrogeomorphic Class,WS,WS_Function
0,8,2,2,1,2,3,1,0,3,1,6.2,35.3,29.1,2,4.268774703557312,1
2,4,1,0,0,1,2,0,0,1,0,6.0,78.0,72.0,1,3.73,1
0,0,0,4,2,3,0,0,0,4,0,6.0,67.0,61.0,0,5.06,1
3,5,1,4,0,3,2,0,0,5,0,6.0,58.3,52.3,1,4.21,1
3,5,0,4,3,0,0,0,0,3,0,6.0,57.7,51.7,1,6.28,1
0,0,0,0,0,2,2,0,0,4,0,6.0,57.0,51.0,0,5.31,1
2,4,0,4,3,2,0,0,0,3,0,5.7,243.0,237.3,1,6.28,1
2,4,0,0,3,1,0,0,0,3,0,5.7,97.7,92.0,1,6.28,1
0,0,0,0,2,2,0,0,0,3,0,5.7,85.3,79.6,1,1.15,0
2,3,0,4,0,2,2,0,0,5,0,5.7,60.3,54.6,1,3.22,1
3,5,1,1,2,1,4,0,1,2,0,5.7,48.0,42.3,9,6.546442687747036,2
0,0,0,0,2,2,0,0,2,4,0,5.7,22.0,16.3,8,6.55,2
1,1,1,1,2,1,4,0,1,2,0,5.7,12.7,6.999999999999999,9,1.800112930547713,0
2,4,2,2,1,1,3,1,0,3,1,5.5,45.0,39.5,2,0.864624505928854,0
2,3,0,0,0,3,2,0,0,5,0,5.3,232.0,226.7,1,-0.21,0
0,0,0,0,0,1,0,0,0,4,0,5.3,161.3,156.0,1,6.93,2
1,7,1,0,0,1,2,0,0,1,0,5.3,100.7,95.4,4,2.36,0
0,0,0,4,3,1,0,0,0,4,0,5.3,93.3,88.0,1,9.21,2
0,2,0,1,2,1,0,0,0,4,0,5.0,500.0,500.0,0,5.953557312252964,1
0,2,0,0,0,1,0,0,0,4,0,5.0,500.0,500.0,0,5.31,1
0,2,0,1,0,1,0,0,0,3,0,5.0,500.0,500.0,0,6.74407114624506,2
2,4,0,0,0,0,2,0,0,4,0,5.0,85.7,80.7,1,3.05,1
1,7,1,5,2,1,3,0,0,1,0,5.0,76.0,71.0,4,1.42,0
0,0,0,1,2,1,0,0,0,4,0,5.0,51.7,46.7,0,8.221343873517789,2
3,6,0,4,0,3,2,0,2,4,0,5.0,29.0,24.0,1,-0.25,0
2,4,0,1,0,1,0,0,0,3,0,4.7,500.0,500.0,1,6.55,2
0,2,0,4,2,2,0,0,0,4,0,4.7,165.0,160.3,1,6.74407114624506,2
2,4,1,0,0,1,2,0,0,5,0,4.7,139.0,134.3,1,0.74,0
1,1,1,1,0,1,3,0,1,2,0,4.7,14.0,9.3,7,1.41,0
2,3,0,4,2,1,2,0,0,3,0,4.3,128.7,124.3,0,6.15,1
0,8,0,0,0,1,0,0,0,3,0,4.3,91.3,87.0,0,9.21,2
1,7,2,2,1,1,3,1,0,2,1,4.0,130.0,126.0,2,-0.2680688876341052,0
2,3,0,0,0,2,0,0,0,3,0,4.0,88.0,84.0,1,9.21,2
3,5,2,2,1,3,2,1,0,3,1,4.0,80.3,76.3,2,0.7786561264822143,0
3,6,2,2,1,0,4,1,0,4,1,4.0,80.0,76.0,2,5.75592885375494,1
4,5,0,0,2,1,2,0,0,5,0,3.7,110.7,107.0,1,7.46,2
3,6,0,4,0,3,2,0,2,4,0,3.7,29.3,25.6,1,6.02,1
2,3,1,1,2,1,3,0,2,5,0,3.3,36.3,33.0,1,7.49,2
4,6,1,5,0,2,3,0,2,5,0,3.0,27.0,24.0,4,1.47,0
2,3,0,0,0,1,2,0,1,4,2,3.0,15.0,12.0,1,7.44,2
2,4,0,1,0,1,2,0,0,4,0,2.7,143.3,140.6,1,7.461180124223602,2
3,5,0,4,0,1,2,0,0,4,0,2.7,98.7,96.0,1,3.2,1
0,0,0,1,2,1,2,0,0,4,0,2.7,48.3,45.59999999999999,0,6.85,2
4,5,0,5,2,1,2,0,0,4,0,2.3,67.3,65.0,7,2.760587238848108,1
2,4,1,0,2,1,3,0,0,1,0,2.3,62.3,60.0,1,3.53,1
3,6,0,4,2,3,2,0,2,4,0,2.3,31.7,29.4,1,6.53,2
3,6,0,4,0,3,2,0,2,3,0,2.3,23.3,21.0,8,6.35,1
2,4,1,4,0,0,2,0,0,5,0,2.0,103.7,101.7,1,2.55,0
3,5,0,4,3,3,2,0,0,4,0,2.0,48.3,46.3,0,6.35,1
4,6,1,5,0,1,2,3,0,1,0,2.0,38.7,36.7,1,1.4,0
1,1,1,0,2,1,3,0,1,1,0,2.0,34.0,32.0,1,0.86,0
1,7,0,1,0,1,3,0,0,4,0,1.7,62.0,60.3,7,2.06,0
3,6,3,4,2,0,2,0,0,4,2,1.7,41.3,39.59999999999999,0,7.613636363636362,2
0,0,0,4,0,3,2,0,2,4,0,1.7,27.7,26.0,0,9.41,2
4,6,1,5,2,1,4,0,1,1,0,1.7,14.7,13.0,1,1.31,0
4,6,0,5,2,1,4,0,2,4,2,1.3,29.3,28.0,6,2.3,0
1,7,0,1,0,1,4,0,0,1,0,1.0,45.0,44.0,4,1.74,0
4,5,1,5,0,1,4,0,0,5,0,1.0,33.0,32.0,6,1.19,0
3,6,1,4,2,3,2,0,2,5,0,1.0,29.7,28.7,7,1.902879728966685,0
3,5,0,4,3,3,4,0,0,3,0,0.7,83.3,82.6,0,9.41,2
3,5,0,4,0,3,2,0,0,4,0,0.7,74.0,73.3,1,3.58498023715415,1
3,6,3,6,2,0,2,0,1,4,0,0.7,7.7,7.0,1,8.09,2
3,5,3,4,0,3,4,0,0,4,0,0.3,40.3,40.0,7,2.476002258610954,0
3,6,3,4,2,3,3,0,2,4,0,0.3,26.0,25.7,6,5.26,1
4,6,1,0,0,0,4,0,2,5,0,0.3,23.7,23.4,4,2.09,0
1,1,0,1,0,1,1,0,1,4,0,0.3,6.7,6.4,7,5.02540937323546,1
